date,timestamp,expiry,K,price,conId,localSymbol,T,dte,moneyness,rate,implied_vol,vega,spot,curve_date,rate_curve_model,nss_fit_target,nss_beta0,nss_beta1,nss_beta2,nss_beta3,nss_tau1,nss_tau2,nss_rmse_bps,_row_id
2026-09-02,2026-09-02 20:00:00+00:00,2026-11-20,325.0,81.47,838421482,GLD   261120C00325000,0.216290212183436,79,0.8068920999056558,0.0383681078448086,0.2905135066016577,17.11111956585086,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,0
2026-09-02,2026-09-02 20:00:00+00:00,2026-11-20,335.0,71.8,838421587,GLD   261120C00335000,0.216290212183436,79,0.8317195491335221,0.0383681078448086,0.2703128813662566,20.95873614268959,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,2
2026-09-02,2026-09-02 20:00:00+00:00,2026-11-20,360.0,49.28,838421860,GLD   261120C00360000,0.216290212183436,79,0.893788172203188,0.0383681078448086,0.2526102088936605,41.475371454651885,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,7
2026-09-02,2026-09-02 20:00:00+00:00,2026-11-20,385.0,29.95,838422120,GLD   261120C00385000,0.216290212183436,79,0.9558567952728536,0.0383681078448086,0.240741736569535,64.8229597284498,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,12
2026-09-02,2026-09-02 20:00:00+00:00,2026-11-20,415.0,14.25,838422419,GLD   261120C00415000,0.216290212183436,79,1.0303391429564528,0.0383681078448086,0.2425125272096134,74.05208412842042,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,18
2026-09-02,2026-09-02 20:00:00+00:00,2026-11-20,445.0,6.23,838422733,GLD   261120C00445000,0.216290212183436,79,1.1048214906400518,0.0383681078448086,0.2534140126748011,57.81323303892352,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,24
2026-09-02,2026-09-02 20:00:00+00:00,2026-11-20,465.0,3.6,838422937,GLD   261120C00465000,0.216290212183436,79,1.1544763890957843,0.0383681078448086,0.2637808086042292,43.4256220196352,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,28
2026-09-02,2026-09-02 20:00:00+00:00,2026-11-20,480.0,2.46,838423086,GLD   261120C00480000,0.216290212183436,79,1.1917175629375838,0.0383681078448086,0.2735181129124946,34.21399641915241,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,31
2026-09-02,2026-09-02 20:00:00+00:00,2027-02-19,325.0,86.55,910574009,GLD   270219C00325000,0.4654346338124572,170,0.8068920999056558,0.039344885046314,0.2615381355666556,41.46793718048317,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,221
2026-09-02,2026-09-02 20:00:00+00:00,2027-02-19,335.0,77.58,910574121,GLD   270219C00335000,0.4654346338124572,170,0.8317195491335221,0.039344885046314,0.2532188625889831,49.62685022356812,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,223
2026-09-02,2026-09-02 20:00:00+00:00,2027-02-19,360.0,56.98,910574390,GLD   270219C00360000,0.4654346338124572,170,0.893788172203188,0.039344885046314,0.2430053918850608,75.04151498047396,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,228
2026-09-02,2026-09-02 20:00:00+00:00,2027-02-19,385.0,39.45,910574644,GLD   270219C00385000,0.4654346338124572,170,0.9558567952728536,0.039344885046314,0.2370419267485849,98.00979534426556,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,233
2026-09-02,2026-09-02 20:00:00+00:00,2027-02-19,415.0,23.83,910575057,GLD   270219C00415000,0.4654346338124572,170,1.0303391429564528,0.039344885046314,0.2370385554282926,109.61970368459154,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,239
2026-09-02,2026-09-02 20:00:00+00:00,2027-02-19,445.0,13.98,910575458,GLD   270219C00445000,0.4654346338124572,170,1.1048214906400518,0.039344885046314,0.243501655819919,100.92043610093954,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,245
2026-09-02,2026-09-02 20:00:00+00:00,2027-02-19,465.0,9.7,910575677,GLD   270219C00465000,0.4654346338124572,170,1.1544763890957843,0.039344885046314,0.2485720190961846,88.50121821974145,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,249
2026-09-02,2026-09-02 20:00:00+00:00,2027-02-19,480.0,7.45,910575836,GLD   270219C00480000,0.4654346338124572,170,1.1917175629375838,0.039344885046314,0.2536765612273477,78.25250275427028,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,252
2026-09-02,2026-09-02 20:00:00+00:00,2027-03-31,325.0,88.7,870310661,GLD   270331C00325000,0.5749486652977412,210,0.8068920999056558,0.0397243596819706,0.2535928928806447,50.261089846314576,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,285
2026-09-02,2026-09-02 20:00:00+00:00,2027-03-31,335.0,80.6,870310701,GLD   270331C00335000,0.5749486652977412,210,0.8317195491335221,0.0397243596819706,0.2577532697561198,62.36267767114805,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,287
2026-09-02,2026-09-02 20:00:00+00:00,2027-03-31,360.0,60.43,870310797,GLD   270331C00360000,0.5749486652977412,210,0.893788172203188,0.0397243596819706,0.2450809983073734,87.04915124808723,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,292
2026-09-02,2026-09-02 20:00:00+00:00,2027-03-31,386.0,42.53,870311057,GLD   270331C00386000,0.5749486652977412,210,0.9583395401956404,0.0397243596819706,0.2373116789371707,109.94037332165608,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,302
2026-09-02,2026-09-02 20:00:00+00:00,2027-03-31,417.0,26.8,870311798,GLD   270331C00417000,0.5749486652977412,210,1.035304632802026,0.0397243596819706,0.2380638651969842,121.80394413738554,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,333
2026-09-02,2026-09-02 20:00:00+00:00,2027-03-31,445.0,17.25,870312471,GLD   270331C00445000,0.5749486652977412,210,1.1048214906400518,0.0397243596819706,0.2426785507644527,115.55046010660156,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,361
2026-09-02,2026-09-02 20:00:00+00:00,2027-03-31,465.0,12.55,870312917,GLD   270331C00465000,0.5749486652977412,210,1.1544763890957843,0.0397243596819706,0.2472564498259686,104.70239593745224,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,381
2026-09-02,2026-09-02 20:00:00+00:00,2027-03-31,480.0,9.82,870313005,GLD   270331C00480000,0.5749486652977412,210,1.1917175629375838,0.0397243596819706,0.250248757350538,94.75581163196782,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,384
2026-09-02,2026-09-02 20:00:00+00:00,2027-06-30,325.0,95.25,897587853,GLD   270630C00325000,0.8240930869267625,301,0.8068920999056558,0.0404880378482557,0.2664665960603393,75.6547776442747,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,417
2026-09-02,2026-09-02 20:00:00+00:00,2027-06-30,336.0,86.2,897588197,GLD   270630C00336000,0.8240930869267625,301,0.8342022940563087,0.0404880378482557,0.2600102383092978,86.05171319515,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,422
2026-09-02,2026-09-02 20:00:00+00:00,2027-06-30,358.0,69.85,897588992,GLD   270630C00358000,0.8240930869267625,301,0.8888226823576146,0.0404880378482557,0.255114117345214,108.55011420013103,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,444
2026-09-02,2026-09-02 20:00:00+00:00,2027-06-30,386.0,50.8,897590285,GLD   270630C00386000,0.8240930869267625,301,0.9583395401956404,0.0404880378482557,0.2430428768689744,131.56099935630178,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,472
2026-09-02,2026-09-02 20:00:00+00:00,2027-06-30,415.0,35.28,897591742,GLD   270630C00415000,0.8240930869267625,301,1.0303391429564528,0.0404880378482557,0.2379089800373651,144.751277589124,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,495
2026-09-02,2026-09-02 20:00:00+00:00,2027-06-30,445.0,24.35,897592083,GLD   270630C00445000,0.8240930869267625,301,1.1048214906400518,0.0404880378482557,0.2425635533529334,143.231378279135,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,501
2026-09-02,2026-09-02 20:00:00+00:00,2027-06-30,465.0,19.83,897592243,GLD   270630C00465000,0.8240930869267625,301,1.1544763890957843,0.0404880378482557,0.2526792837074958,136.41569165066934,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,505
2026-09-02,2026-09-02 20:00:00+00:00,2027-06-30,480.0,15.5,897592325,GLD   270630C00480000,0.8240930869267625,301,1.1917175629375838,0.0404880378482557,0.2475452658063732,127.44549361752992,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,508
2026-09-02,2026-09-02 20:00:00+00:00,2027-09-17,325.0,99.38,887869727,GLD   270917C00325000,1.0403832991101984,380,0.8068920999056558,0.0410519165397473,0.2574844255888835,88.42690353181216,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,509
2026-09-02,2026-09-02 20:00:00+00:00,2027-09-17,335.0,91.45,887869857,GLD   270917C00335000,1.0403832991101984,380,0.8317195491335221,0.0410519165397473,0.2533910700020381,98.6736701941788,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,511
2026-09-02,2026-09-02 20:00:00+00:00,2027-09-17,360.0,73.15,887870134,GLD   270917C00360000,1.0403832991101984,380,0.893788172203188,0.0410519165397473,0.2464621406885795,124.434169576296,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,516
