year,expected_wacc_decimal,p10_wacc_decimal,p50_wacc_decimal,p90_wacc_decimal,long_run_wacc_decimal,wacc_floor_decimal
0,0.091,0.091,0.091,0.091,0.083,0.035
1,0.0881010252129742,0.07882706424307155,0.08811306296251226,0.09736531592334001,0.083,0.035
2,0.0862525572779248,0.07524845047997326,0.08643258523864922,0.09748717646508248,0.083,0.035
3,0.08507392208516713,0.07317419259657965,0.08497184038491884,0.09670639264998865,0.083,0.035
4,0.08432239110577269,0.07217602053667817,0.0843794490147823,0.0958899453163616,0.083,0.035
5,0.08384319379649492,0.07169969264455366,0.08383968535594889,0.09582395984345038,0.083,0.035
