model_id,label,eligible_paths,eligible_fraction,p10_terminal_share,p50_terminal_share,p90_terminal_share
black_scholes,Black–Scholes / GBM,8026,0.979736328125,0.0,0.7781237073094043,0.8643022513645509
heston,Heston,8168,0.9970703125,0.6074969488759977,0.7912399400187939,0.8548332442174006
bates_poisson,Bates–Poisson,7506,0.916259765625,0.0,0.7467787835219358,0.8804482360829343
full_bates_hawkes,Full Bates–Hawkes,8046,0.982177734375,0.11456522142462669,0.7806301563878579,0.8618395854862133
