origin_date,target_date,gap_days,model,model_label,common_n,mae_iv,rmse_iv,mse_iv,mean_benchmark_mse_iv,persistence_n,persistence_mse_iv,model_mse_on_persistence_support_iv
2026-07-09,2026-07-10,1,bs,Black-Scholes,89,0.013072476613396031,0.016788756715268704,0.00028186235204448,0.00027995188890575674,73,2.9622302145241093e-05,0.00022505556276105823
2026-07-09,2026-07-10,1,heston,Heston,89,0.005832811616140354,0.007527899283306248,5.6669267619602717e-05,0.00027995188890575674,73,2.9622302145241093e-05,4.174002096348314e-05
2026-07-09,2026-07-10,1,bates,Bates,89,0.004367934441264062,0.005872237557139558,3.448317392748037e-05,0.00027995188890575674,73,2.9622302145241093e-05,3.202889363204195e-05
2026-07-09,2026-07-10,1,hawkes,Full Bates-Hawkes,89,0.004304188360266524,0.00567979119026533,3.226002796501566e-05,0.00027995188890575674,73,2.9622302145241093e-05,2.9458613144735744e-05
2026-07-10,2026-07-13,3,bs,Black-Scholes,97,0.009806542004280982,0.015747351477886223,0.0002479790785680854,0.00023419692988330894,72,0.0001653910533770242,0.00022862974585371825
2026-07-10,2026-07-13,3,heston,Heston,97,0.010354867942077232,0.01221549500568151,0.00014921831823382992,0.00023419692988330894,72,0.0001653910533770242,0.00011648795533322567
2026-07-10,2026-07-13,3,bates,Bates,97,0.010682212206844182,0.012400269387658579,0.00015376668088650246,0.00023419692988330894,72,0.0001653910533770242,0.00014693076979490846
2026-07-10,2026-07-13,3,hawkes,Full Bates-Hawkes,97,0.010814082253614868,0.012567137978055516,0.00015793295695948527,0.00023419692988330894,72,0.0001653910533770242,0.00015176052984583571
2026-07-13,2026-07-14,1,bs,Black-Scholes,68,0.011938598552726993,0.014053157235475556,0.00019749122828499895,0.00020735163494180623,57,4.685259462105158e-05,0.00015644647266781315
2026-07-13,2026-07-14,1,heston,Heston,68,0.007495924482093339,0.009431009556187206,8.89439412488944e-05,0.00020735163494180623,57,4.685259462105158e-05,5.2101677389258165e-05
2026-07-13,2026-07-14,1,bates,Bates,68,0.007527336131656733,0.009281915460286084,8.615395461189782e-05,0.00020735163494180623,57,4.685259462105158e-05,4.891085121574792e-05
2026-07-13,2026-07-14,1,hawkes,Full Bates-Hawkes,68,0.006139999278108896,0.008035759086380044,6.457342409433945e-05,0.00020735163494180623,57,4.685259462105158e-05,3.0895373053729673e-05
2026-07-14,2026-07-15,1,bs,Black-Scholes,77,0.010193714481570419,0.013736491925056278,0.00018869121040713635,0.00018828295828075226,63,8.869935721136755e-06,0.0001319550009564295
2026-07-14,2026-07-15,1,heston,Heston,77,0.003930399892349764,0.005509824483631711,3.0358165840427447e-05,0.00018828295828075226,63,8.869935721136755e-06,2.3259262558819137e-05
2026-07-14,2026-07-15,1,bates,Bates,77,0.0031889010710327162,0.004610144275106038,2.1253430237292974e-05,0.00018828295828075226,63,8.869935721136755e-06,1.9235854828221688e-05
2026-07-14,2026-07-15,1,hawkes,Full Bates-Hawkes,77,0.0027964095533014885,0.0039055398390874492,1.525324143469922e-05,0.00018828295828075226,63,8.869935721136755e-06,1.4297159488678885e-05
2026-07-15,2026-07-16,1,bs,Black-Scholes,81,0.010467467356757213,0.016031192465977742,0.00025699913188122154,0.0002589193261745886,59,3.4559116155943376e-05,0.00018066084490117918
2026-07-15,2026-07-16,1,heston,Heston,81,0.0045562520509988234,0.00621250072450318,3.8595165251952536e-05,0.0002589193261745886,59,3.4559116155943376e-05,3.0304429914211988e-05
2026-07-15,2026-07-16,1,bates,Bates,81,0.003668937727435266,0.004985376930708284,2.4853983141238346e-05,0.0002589193261745886,59,3.4559116155943376e-05,2.3553174342056064e-05
2026-07-15,2026-07-16,1,hawkes,Full Bates-Hawkes,81,0.003874964178634087,0.00509611235395563,2.597036112413919e-05,0.0002589193261745886,59,3.4559116155943376e-05,2.3238388222595395e-05
2026-07-16,2026-07-17,1,bs,Black-Scholes,74,0.014890686850137766,0.020466525109541583,0.00041887865005949616,0.00041609038482240466,52,1.5875144744340716e-05,0.00016779849341554538
2026-07-16,2026-07-17,1,heston,Heston,74,0.005978561699327505,0.007604006812737074,5.782091960815183e-05,0.00041609038482240466,52,1.5875144744340716e-05,3.049234483638549e-05
2026-07-16,2026-07-17,1,bates,Bates,74,0.004476035615629397,0.0061653265540718375,3.801125151834332e-05,0.00041609038482240466,52,1.5875144744340716e-05,1.992316795867478e-05
2026-07-16,2026-07-17,1,hawkes,Full Bates-Hawkes,74,0.0041937682751289505,0.005565076532836418,3.0970076816326605e-05,0.00041609038482240466,52,1.5875144744340716e-05,1.5876047677414143e-05
2026-07-17,2026-07-20,3,bs,Black-Scholes,67,0.014381266944350898,0.021442729079632912,0.000459790630382535,0.0004396983545238321,65,2.565123976133591e-05,0.0004724576895609851
2026-07-17,2026-07-20,3,heston,Heston,67,0.004776944499847896,0.007448812865498474,5.548481310521559e-05,0.0004396983545238321,65,2.565123976133591e-05,5.031453285121325e-05
2026-07-17,2026-07-20,3,bates,Bates,67,0.004664598316068199,0.0075330239263315685,5.674644947468389e-05,0.0004396983545238321,65,2.565123976133591e-05,5.1556046004718006e-05
2026-07-17,2026-07-20,3,hawkes,Full Bates-Hawkes,67,0.0039444439775505255,0.005749378145202599,3.3055349056533285e-05,0.0004396983545238321,65,2.565123976133591e-05,3.0884841717435075e-05
2026-07-20,2026-07-21,1,bs,Black-Scholes,78,0.014762440241063768,0.018702672663572947,0.00034978996476075884,0.0003815869280306554,52,3.4083945162639674e-05,0.0001558671442892522
2026-07-20,2026-07-21,1,heston,Heston,78,0.007134156406490528,0.008501532349888503,7.227605229620072e-05,0.0003815869280306554,52,3.4083945162639674e-05,5.748464804595324e-05
2026-07-20,2026-07-21,1,bates,Bates,78,0.005866313777164301,0.006897619531487594,4.7577155201159143e-05,0.0003815869280306554,52,3.4083945162639674e-05,4.741842846871969e-05
2026-07-20,2026-07-21,1,hawkes,Full Bates-Hawkes,78,0.0052812267282500375,0.005785910556317865,3.3476760965710505e-05,0.0003815869280306554,52,3.4083945162639674e-05,2.764632047150146e-05
2026-07-21,2026-07-22,1,bs,Black-Scholes,67,0.008902297674843719,0.01151319746337867,0.00013255371583074902,0.00015466527753288197,58,1.0212867080714049e-05,0.0001238368663205791
2026-07-21,2026-07-22,1,heston,Heston,67,0.00579933053014467,0.006546333981519941,4.285448859760273e-05,0.00015466527753288197,58,1.0212867080714049e-05,3.439225891093393e-05
2026-07-21,2026-07-22,1,bates,Bates,67,0.003106036347210579,0.003822355692242337,1.4610403038017398e-05,0.00015466527753288197,58,1.0212867080714049e-05,1.3058417018470724e-05
2026-07-21,2026-07-22,1,hawkes,Full Bates-Hawkes,67,0.002910608190713712,0.003621922756999638,1.3118324457671858e-05,0.00015466527753288197,58,1.0212867080714049e-05,1.2363040802114195e-05
2026-07-22,2026-07-23,1,bs,Black-Scholes,70,0.00894335212637539,0.01375361228411111,0.00018916185086165202,0.00018292177863881483,46,1.651196986292275e-05,0.00015011789584591312
2026-07-22,2026-07-23,1,heston,Heston,70,0.004138300448427237,0.006204083770800831,3.8490655435114256e-05,0.00018292177863881483,46,1.651196986292275e-05,1.7623082328724432e-05
2026-07-22,2026-07-23,1,bates,Bates,70,0.003076808124393469,0.0042181622338666154,1.7792892631218597e-05,0.00018292177863881483,46,1.651196986292275e-05,7.386533721398756e-06
2026-07-22,2026-07-23,1,hawkes,Full Bates-Hawkes,70,0.0027262943217703597,0.0038162173374824454,1.4563514766901605e-05,0.00018292177863881483,46,1.651196986292275e-05,6.026472347178877e-06
2026-07-23,2026-07-24,1,bs,Black-Scholes,77,0.010022739534389702,0.012964499088180157,0.0001680782366074241,0.00016898314049380335,64,1.3556664736457605e-05,0.00012124557047422703
