Regime,PeakInflation,MaxOutputGapLoss,PeakNominalRate,CumulativeOutputLoss
Accommodative,1.49298297999403,1.43326366079427,1.46312332039415,2.86372797850104
Benchmark,1.28259940145361,2.05215904232578,1.6673792218897,4.10030996152202
Aggressive,1.09051254089422,2.61723009814613,1.85387131952017,5.22934841875681
