K,T,market_iv,model_iv,residual_bp
325.0,0.216290212183436,0.2905135066016577,0.27415805840970214,163.55448191955557
335.0,0.216290212183436,0.2703128813662566,0.26862134143422245,16.91539932034136
360.0,0.216290212183436,0.2526102088936605,0.25651455126897055,-39.04342375310066
385.0,0.216290212183436,0.240741736569535,0.24823625117594453,-74.94514606409541
415.0,0.216290212183436,0.2425125272096134,0.2456564433931408,-31.43916183527412
445.0,0.216290212183436,0.2534140126748011,0.2506808757307589,27.331369440422026
465.0,0.216290212183436,0.2637808086042292,0.2565395100963898,72.41298507839389
480.0,0.216290212183436,0.2735181129124946,0.2615453174084268,119.72795504067824
325.0,0.3285420944558521,0.2701540474778973,0.26800696974812244,21.47077729774849
386.0,0.3285420944558521,0.2392664207330905,0.246438611713606,-71.72190980515497
417.0,0.3285420944558521,0.2405657853146084,0.24428584196041364,-37.20056645805242
445.0,0.3285420944558521,0.2479329490139148,0.24750981326940555,4.2313574450925096
465.0,0.3285420944558521,0.2546327309909276,0.2518563622818632,27.76368709064392
480.0,0.3285420944558521,0.2616907204055227,0.2557791785644907,59.115418410320416
336.0,0.3696098562628336,0.264917958664056,0.2613878196847855,35.30138979270458
358.0,0.3696098562628336,0.248125384348724,0.2531147721589052,-49.89387810181212
325.0,0.5749486652977412,0.2535928928806447,0.26030619198922134,-67.13299108576653
335.0,0.5749486652977412,0.2577532697561198,0.2570549232737235,6.983464823963059
360.0,0.5749486652977412,0.2450809983073734,0.25040541812363787,-53.24419816264469
386.0,0.5749486652977412,0.2373116789371707,0.24596427350102995,-86.5259456385925
417.0,0.5749486652977412,0.2380638651969842,0.24410794607071976,-60.44080873735563
445.0,0.5749486652977412,0.2426785507644527,0.24532761327978478,-26.490625153320902
465.0,0.5749486652977412,0.2472564498259686,0.24751700006110924,-2.6055023514065523
480.0,0.5749486652977412,0.250248757350538,0.2496939982740095,5.54759076528466
325.0,0.8240930869267625,0.2664665960603393,0.25692673468633737,95.39861374001923
336.0,0.8240930869267625,0.2600102383092978,0.25439633167463016,56.139066346676536
358.0,0.8240930869267625,0.255114117345214,0.2502559536906223,48.58163654591685
386.0,0.8240930869267625,0.2430428768689744,0.24678100235076972,-37.38125481795307
415.0,0.8240930869267625,0.2379089800373651,0.24522701619582465,-73.18036158459552
445.0,0.8240930869267625,0.2425635533529334,0.24555799880032614,-29.94445447392746
465.0,0.8240930869267625,0.2526792837074958,0.24668172228478036,59.97561422715458
480.0,0.8240930869267625,0.2475452658063732,0.24790543708271012,-3.6017127633691803
325.0,1.0403832991101984,0.2574844255888835,0.2555923679199329,18.9205766895062
335.0,1.0403832991101984,0.2533910700020381,0.2537976847996473,-4.0661479760922825
360.0,1.0403832991101984,0.2464621406885795,0.2501763627300959,-37.14222041516418
385.0,1.0403832991101984,0.2411828859367408,0.247754157192542,-65.71271255801203
415.0,1.0403832991101984,0.2393399006146006,0.2463170961274403,-69.77195512839707
445.0,1.0403832991101984,0.2443948135583661,0.24628566958885514,-18.90856030489052
465.0,1.0403832991101984,0.243019743278902,0.24691911508478634,-38.99371805884344
480.0,1.0403832991101984,0.2461035514163784,0.24768028277211274,-15.767313557343288
325.0,1.3853524982888432,0.2601912651707418,0.2547695193174632,54.217458532785926
335.0,1.3853524982888432,0.2544914056167938,0.25348678896718807,10.046166496057163
360.0,1.3853524982888432,0.2490600689302198,0.2508847789589721,-18.247100287522855
385.0,1.3853524982888432,0.2465785816212184,0.24909000948645463,-25.114278652362266
415.0,1.3853524982888432,0.2437241350200959,0.24789160839045538,-41.674733703594704
445.0,1.3853524982888432,0.244953623866383,0.24759537614251953,-26.417522761365277
465.0,1.3853524982888432,0.2465317184065469,0.2478229848226889,-12.912664161420228
480.0,1.3853524982888432,0.2496512606765143,0.24818474042001823,14.665202564960733
325.0,1.787816563997262,0.2611612368588337,0.2546113477711952,65.49889087638483
330.0,1.787816563997262,0.2616592609581538,0.25412925208189163,75.30008876262151
335.0,1.787816563997262,0.2595122142099776,0.2536724626468018,58.39751563175788
340.0,1.787816563997262,0.2596000547983684,0.25324042898278126,63.59625815587133
355.0,1.787816563997262,0.2550507933332585,0.25208744952285317,29.633438104053056
360.0,1.787816563997262,0.2539660104944371,0.2517490525320683,22.16957962368815
385.0,1.787816563997262,0.2499359323543497,0.2503780499521899,-4.421175978401859
390.0,1.787816563997262,0.2499915218870155,0.25016446361847855,-1.7294173146303882
415.0,1.787816563997262,0.2483971760929562,0.2493721167045157,-9.74940611559505
420.0,1.787816563997262,0.2475914771082811,0.24926535573576036,-16.738786274792528
445.0,1.787816563997262,0.2480524539365433,0.24896412717271954,-9.11673236176247
450.0,1.787816563997262,0.246289691136498,0.24894720933862713,-26.575182021291166
465.0,1.787816563997262,0.2488649607530795,0.24897520177068966,-1.1024101761014649
470.0,1.787816563997262,0.2496620265501551,0.249009373945211,6.526526049440983
475.0,1.787816563997262,0.2496469953044318,0.24905528162942253,5.917136750092644
480.0,1.787816563997262,0.2502746382872574,0.24911252520233923,11.621130849181483
