model,legacy_median_bn,signed_median_bn,five_year_median_bn,negative_final_margin_paths,terminal_positive_floor_mean_uplift_bn,clipped_wacc_fraction
black_scholes,60.096539836574784,60.096539836574784,13.174918657843467,0.10595703125,1.1414680125236822,0.0
heston,59.77338085299532,59.77338085299532,13.078601814956434,0.1192626953125,1.4430093041460128,0.0
bates_poisson,60.05629222673176,60.05629222673176,13.125173327062763,0.109375,1.2357723339150166,0.0
full_bates_hawkes,58.87942927436468,58.87942927436468,12.910134890655897,0.1201171875,1.4568834246428481,0.0
