model,p10_bn,median_bn,p90_bn,mean_bn,negative_fraction,five_year_median_bn,terminal_uplift_mean_bn
black_scholes,4.288393524251905,60.09653983657478,173.38694684250052,78.25627419405106,0.0772705078125,13.174918657843467,1.1414680125236822
heston,1.879401196102376,59.77338085299532,173.63617665829662,78.47398268578594,0.092041015625,13.078601814956434,1.4430093041460128
bates_poisson,2.211883248423463,59.11818158745837,174.02283341824588,77.77885507541433,0.0892333984375,12.833195863353689,1.407411709347934
full_bates_hawkes,1.0276702362545296,59.8247395396775,172.60069889184197,77.94990738872707,0.093017578125,12.891655420709347,1.4866038711923202
