model,model_label,forecast_origins,common_target_observations,persistence_common_observations,date_mean_mae_bp,date_mean_rmse_bp,pooled_mae_bp,pooled_rmse_bp,r2_oos_vs_mean_date_equal,r2_oos_vs_mean_pooled,r2_oos_vs_persistence_date_equal,r2_oos_vs_persistence_pooled
bs,Black-Scholes,30,4667,4026,104.83010975087869,140.65277601888752,105.32630321010251,137.14209438076125,-0.02582825385637566,-0.08370597374256628,-2.685226922266413,-1.71205412730803
heston,Heston,30,4667,4026,63.86621728633371,80.19643023293946,74.057275221168,95.2528016117438,0.6607088395692795,0.4772122187412279,-0.2723655156881162,-0.4173717310262375
bates,Bates,30,4667,4026,55.739356748532856,69.30548600068026,65.22009189742565,83.75042044699636,0.729650341910554,0.5958487706408306,-0.1291725402835706,-0.09991783433972556
hawkes,Full Bates-Hawkes,30,4667,4026,52.744816799388765,65.05065628296713,61.45164430500497,79.93774262715459,0.7580844257014705,0.6318085729235741,-0.03681688815397166,-0.023242305312522582
