rank,strategy,T_sampling,K_sampling,lambda_T,gaussian_z,n_full,n_sample,all_mae_bps_iv,all_rmse_bps_iv,all_linf_bps_iv,holdout_n,holdout_mae_bps_iv,holdout_rmse_bps_iv,holdout_linf_bps_iv
1,GU,gaussian,uniform,,2.0,605,64,15.554841437878121,26.871634555925734,150.7316680044912,541,17.394970554373604,28.416667089423203,150.7316680044912
2,GC,gaussian,chebyshev,,2.0,605,64,13.34076007524457,23.143895503060325,158.50124572137304,541,14.918964594311264,24.47459503418388,158.50124572137304
3,CU,chebyshev,uniform,,,605,64,9.345997229990708,17.988904996421038,161.2685115560275,541,10.451623519675127,19.02320915844071,161.2685115560275
4,EU,exponential,uniform,1.0,,605,64,9.890615698578907,18.882027226366223,162.22326638051288,541,11.06067005109061,19.96768304318692,162.22326638051288
5,UU,uniform,uniform,,,605,64,10.822687388304319,19.350164641725154,167.80774860591373,541,12.103005304850333,20.462736853801662,167.80774860591373
6,UC,uniform,chebyshev,,,605,64,14.015728664138154,22.38277347183508,179.48021264986957,541,15.673781592982365,23.66971093490293,179.48021264986957
7,EC,exponential,chebyshev,1.0,,605,64,10.09414907190975,17.763302201355145,198.28293175590207,541,11.288281309621516,18.784634928485016,198.28293175590207
8,CC,chebyshev,chebyshev,,,605,64,11.972748746854997,21.44679845751539,242.53576757094942,541,13.389118284375432,22.67992036854991,242.53576757094942
