date,expiry,K,T,dte,moneyness,spot,price,rate,curve_date,implied_vol,vega,volume,conId,localSymbol,tradingClass
2026-07-31,2026-10-16,357.0,0.2108145106091718,77,0.9608655864779028,371.54,24.9,0.03767532771443289,2026-07-31,0.21987538733286782,59.3075059305977,0.0,897213185,GLD   261016C00357000,GLD
2026-07-31,2026-10-16,365.0,0.2108145106091718,77,0.982397588415783,371.54,20.19,0.03767532771443289,2026-07-31,0.22345969683816658,65.02600249102957,1.0,827014302,GLD   261016C00365000,GLD
2026-07-31,2026-10-16,375.0,0.2108145106091718,77,1.009312590838133,371.54,14.45,0.03767532771443289,2026-07-31,0.21587578145796438,68.01141118023168,39.0,827014423,GLD   261016C00375000,GLD
2026-07-31,2026-10-16,377.0,0.2108145106091718,77,1.0146955913226032,371.54,13.8,0.03767532771443289,2026-07-31,0.2198599090612493,68.04788576744191,1.0,897213423,GLD   261016C00377000,GLD
2026-07-31,2026-10-16,401.0,0.2108145106091718,77,1.0792915971362438,371.54,5.8,0.03767532771443289,2026-07-31,0.2206051012284122,56.00667132450902,1.0,897213686,GLD   261016C00401000,GLD
2026-07-31,2026-10-16,405.0,0.2108145106091718,77,1.0900575981051839,371.54,5.1,0.03767532771443289,2026-07-31,0.2238435710125603,52.880665052854674,1.0,827014751,GLD   261016C00405000,GLD
2026-07-31,2026-10-16,420.0,0.2108145106091718,77,1.130430101738709,371.54,2.92,0.03767532771443289,2026-07-31,0.22975007759956642,39.86866158664414,4.0,827014933,GLD   261016C00420000,GLD
2026-07-31,2026-10-16,425.0,0.2108145106091718,77,1.1438876029498841,371.54,2.38,0.03767532771443289,2026-07-31,0.23075074506578963,35.49842492791274,0.0,827395259,GLD   261016C00425000,GLD
2026-07-31,2026-11-20,365.0,0.3066392881587953,112,0.982397588415783,371.54,23.75,0.03817364538179045,2026-07-31,0.2207028881429695,78.4149549440366,0.0,838421927,GLD   261120C00365000,GLD
2026-07-31,2026-11-20,375.0,0.3066392881587953,112,1.009312590838133,371.54,18.85,0.03817364538179045,2026-07-31,0.22452582565890628,81.80465569066864,17.0,838422047,GLD   261120C00375000,GLD
2026-07-31,2026-11-20,405.0,0.3066392881587953,112,1.0900575981051839,371.54,8.0,0.03817364538179045,2026-07-31,0.22330192463630816,70.90980090064366,43.0,838422292,GLD   261120C00405000,GLD
2026-07-31,2026-11-20,420.0,0.3066392881587953,112,1.130430101738709,371.54,5.35,0.03817364538179045,2026-07-31,0.23096834423327817,59.454039525988925,2.0,838422473,GLD   261120C00420000,GLD
2026-07-31,2026-11-20,425.0,0.3066392881587953,112,1.1438876029498841,371.54,4.51,0.03817364538179045,2026-07-31,0.23045608049659055,54.84842105122892,13.0,838422532,GLD   261120C00425000,GLD
2026-07-31,2026-12-18,365.0,0.38329911019849416,140,0.982397588415783,371.54,26.85,0.03862422803053799,2026-07-31,0.22553106582751498,87.64847406209356,54.0,843267244,GLD   261218C00365000,GLD
2026-07-31,2026-12-18,375.0,0.38329911019849416,140,1.009312590838133,371.54,21.5,0.03862422803053799,2026-07-31,0.223733891346585,91.22088403358188,5.0,843267336,GLD   261218C00375000,GLD
2026-07-31,2026-12-18,420.0,0.38329911019849416,140,1.130430101738709,371.54,7.05,0.03862422803053799,2026-07-31,0.22758058642623946,72.0971312321583,10.0,843267745,GLD   261218C00420000,GLD
2026-07-31,2026-12-18,425.0,0.38329911019849416,140,1.1438876029498841,371.54,6.2,0.03862422803053799,2026-07-31,0.22885897804284466,68.04251604490513,55.0,843267789,GLD   261218C00425000,GLD
2026-07-31,2027-01-15,365.0,0.459958932238193,168,0.982397588415783,371.54,29.25,0.038889716599085286,2026-07-31,0.22439623471451925,95.79956711951274,0.0,731137762,GLD   270115C00365000,GLD
2026-07-31,2027-01-15,375.0,0.459958932238193,168,1.009312590838133,371.54,24.0,0.038889716599085286,2026-07-31,0.2237031024380587,99.64454155126083,8.0,731137844,GLD   270115C00375000,GLD
2026-07-31,2027-01-15,405.0,0.459958932238193,168,1.0900575981051839,371.54,12.4,0.038889716599085286,2026-07-31,0.22331670442996546,93.68162467488041,4.0,764260513,GLD   270115C00405000,GLD
2026-07-31,2027-01-15,420.0,0.459958932238193,168,1.130430101738709,371.54,8.8,0.038889716599085286,2026-07-31,0.225920881721098,83.62249282093046,26.0,772352864,GLD   270115C00420000,GLD
2026-07-31,2027-01-15,425.0,0.459958932238193,168,1.1438876029498841,371.54,7.8,0.038889716599085286,2026-07-31,0.22645629767393693,79.66375568703268,2.0,772834192,GLD   270115C00425000,GLD
2026-07-31,2027-03-31,375.0,0.6652977412731006,243,1.009312590838133,371.54,30.12,0.039346175593838656,2026-07-31,0.22462231806097555,118.8723276105093,0.0,870310872,GLD   270331C00375000,GLD
2026-07-31,2027-06-30,420.0,0.9144421629021219,334,1.130430101738709,371.54,19.45,0.03982516134951225,2026-07-31,0.2271070276816376,135.9730609029083,1.0,897591811,GLD   270630C00420000,GLD
