model,benchmark,dates,observations,sum_daily_model_mse,sum_daily_benchmark_mse,mean_daily_rmse_bp,root_mean_daily_mse_bp,benchmark_root_mean_daily_mse_bp,r2
bs,mean,30,4667,0.006287134149065545,0.006128836991407637,140.65277601886936,144.76572049424712,142.9316502319394,-0.02582825385629195
bs,persistence,30,4026,0.0045841358355252345,0.0012439222691629146,118.78145541497214,123.6141285819874,64.3926048850051,-2.685226922265878
heston,mean,30,4667,0.002079460214905475,0.006128836991407637,80.19643023293554,83.2558349287599,142.9316502319394,0.6607088395692711
heston,persistence,30,4026,0.0015827237994793487,0.0012439222691629146,68.60528857864009,72.63433071395713,64.3926048850051,-0.2723655156880722
bates,mean,30,4667,0.0016569289851131046,0.006128836991407637,69.30548600067779,74.31753909437316,142.9316502319394,0.7296503419105376
bates,persistence,30,4026,0.001404602868585905,0.0012439222691629146,62.94646408687334,68.42521144982321,64.3926048850051,-0.1291725402835009
hawkes,mean,30,4667,0.0014826611205584373,0.006128836991407637,65.05065628296356,70.3008089227627,142.9316502319394,0.7580844257014726
hawkes,persistence,30,4026,0.0012897196162189183,0.0012439222691629146,59.55490221170156,65.56725850145325,64.3926048850051,-0.036816888153970107
