date,expiry,K,T,dte,moneyness,spot,price,rate,curve_date,implied_vol,vega,volume,conId,localSymbol,tradingClass
2026-07-09,2026-10-16,375.0,0.27104722792607805,99,0.9915913057274314,378.18,22.3,0.037779285597395844,2026-07-09,0.23905032096495854,76.79604364340682,0.0,827014423,GLD   261016C00375000,GLD
2026-07-09,2026-10-16,420.0,0.27104722792607805,99,1.110582262414723,378.18,5.9,0.037779285597395844,2026-07-09,0.23168470323020596,60.42284412683155,0.0,827014933,GLD   261016C00420000,GLD
2026-07-09,2026-10-16,425.0,0.27104722792607805,99,1.1238034798244223,378.18,5.1,0.037779285597395844,2026-07-09,0.23380503086810928,56.40107884689237,6.0,827395259,GLD   261016C00425000,GLD
2026-07-09,2026-11-20,365.0,0.3668720054757016,134,0.9651488709080331,378.18,32.1,0.03845176055214347,2026-07-09,0.24406859641140327,84.04055433151527,0.0,838421927,GLD   261120C00365000,GLD
2026-07-09,2026-11-20,375.0,0.3668720054757016,134,0.9915913057274314,378.18,26.0,0.03845176055214347,2026-07-09,0.23837655049758033,89.0307542680295,1.0,838422047,GLD   261120C00375000,GLD
2026-07-09,2026-11-20,420.0,0.3668720054757016,134,1.110582262414723,378.18,8.75,0.03845176055214347,2026-07-09,0.23282621179250998,77.53915518108731,0.0,838422473,GLD   261120C00420000,GLD
2026-07-09,2026-11-20,425.0,0.3668720054757016,134,1.1238034798244223,378.18,7.74,0.03845176055214347,2026-07-09,0.2341593547682278,73.85745710945045,3.0,838422532,GLD   261120C00425000,GLD
2026-07-09,2026-12-18,375.0,0.44353182751540043,162,0.9915913057274314,378.18,28.5,0.03867303295369678,2026-07-09,0.2362393290060572,97.59355426952582,8.0,843267336,GLD   261218C00375000,GLD
2026-07-09,2026-12-18,405.0,0.44353182751540043,162,1.0709186101856258,378.18,15.35,0.03867303295369678,2026-07-09,0.23312069941395896,97.30796387290584,0.0,843267622,GLD   261218C00405000,GLD
2026-07-09,2026-12-18,420.0,0.44353182751540043,162,1.110582262414723,378.18,10.7,0.03867303295369678,2026-07-09,0.23053714119223875,88.90775262926094,5.0,843267745,GLD   261218C00420000,GLD
2026-07-09,2026-12-18,425.0,0.44353182751540043,162,1.1238034798244223,378.18,9.7,0.03867303295369678,2026-07-09,0.23299121091300629,85.69923408409022,0.0,843267789,GLD   261218C00425000,GLD
2026-07-09,2027-01-15,365.0,0.5201916495550992,190,0.9651488709080331,378.18,37.25,0.03885932408343669,2026-07-09,0.24332277561407537,100.24476325624002,1.0,731137762,GLD   270115C00365000,GLD
2026-07-09,2027-01-15,375.0,0.5201916495550992,190,0.9915913057274314,378.18,31.07,0.03885932408343669,2026-07-09,0.23679757121866568,105.38272850156193,11.0,731137844,GLD   270115C00375000,GLD
2026-07-09,2027-01-15,420.0,0.5201916495550992,190,1.110582262414723,378.18,13.0,0.03885932408343669,2026-07-09,0.23287659533610572,99.62364359546844,1.0,772352864,GLD   270115C00420000,GLD
2026-07-09,2027-01-15,425.0,0.5201916495550992,190,1.1238034798244223,378.18,11.74,0.03885932408343669,2026-07-09,0.2333544473919086,96.54179961380619,1.0,772834192,GLD   270115C00425000,GLD
2026-07-09,2027-03-31,420.0,0.7255304585900069,265,1.110582262414723,378.18,18.3,0.039096276268913856,2026-07-09,0.23284941988689822,123.33766978128102,0.0,870311879,GLD   270331C00420000,GLD
