date,expiry,K,T,dte,moneyness,spot,price,rate,curve_date,implied_vol,vega,volume,conId,localSymbol,tradingClass
2026-08-14,2026-10-16,365.0,0.17248459958932238,63,0.9091361960745242,401.48,43.0,0.037425737552123466,2026-08-14,0.26841425063321367,41.62933326565258,1.0,827014302,GLD   261016C00365000,GLD
2026-08-14,2026-10-16,375.0,0.17248459958932238,63,0.9340440370628673,401.48,33.48,0.037425737552123466,2026-08-14,0.23011777502438052,47.164984305182344,2.0,827014423,GLD   261016C00375000,GLD
2026-08-14,2026-10-16,401.0,0.17248459958932238,63,0.9988044236325595,401.48,16.45,0.037425737552123466,2026-08-14,0.2244776213665493,65.97099391991001,1.0,897213686,GLD   261016C00401000,GLD
2026-08-14,2026-10-16,405.0,0.17248459958932238,63,1.0087675600278967,401.48,14.5,0.037425737552123466,2026-08-14,0.22461036011828112,66.50304038850341,22.0,827014751,GLD   261016C00405000,GLD
2026-08-14,2026-10-16,420.0,0.17248459958932238,63,1.0461293215104115,401.48,8.95,0.037425737552123466,2026-08-14,0.23009681137250737,62.42218637025146,89.0,827014933,GLD   261016C00420000,GLD
2026-08-14,2026-10-16,425.0,0.17248459958932238,63,1.058583242004583,401.48,7.25,0.037425737552123466,2026-08-14,0.22686130313491448,59.03425605834822,91.0,827395259,GLD   261016C00425000,GLD
2026-08-14,2026-11-20,405.0,0.2683093771389459,98,1.0087675600278967,401.48,19.14,0.03791595771860738,2026-08-14,0.22748879710910846,82.75456971563372,7.0,838422292,GLD   261120C00405000,GLD
2026-08-14,2026-11-20,420.0,0.2683093771389459,98,1.0461293215104115,401.48,13.1,0.03791595771860738,2026-08-14,0.22997638445897023,80.73123205564677,35.0,838422473,GLD   261120C00420000,GLD
2026-08-14,2026-11-20,425.0,0.2683093771389459,98,1.058583242004583,401.48,11.5,0.03791595771860738,2026-08-14,0.2312650856102817,78.55657864204372,4.0,838422532,GLD   261120C00425000,GLD
2026-08-14,2026-12-18,405.0,0.34496919917864477,126,1.0087675600278967,401.48,22.3,0.03811323024243602,2026-08-14,0.22819246243322272,93.60380317990663,8.0,843267622,GLD   261218C00405000,GLD
2026-08-14,2026-12-18,420.0,0.34496919917864477,126,1.0461293215104115,401.48,16.2,0.03811323024243602,2026-08-14,0.23145676658889275,92.76942913647326,25.0,843267745,GLD   261218C00420000,GLD
2026-08-14,2027-01-15,365.0,0.4216290212183436,154,0.9091361960745242,401.48,51.56,0.038423071232420045,2026-08-14,0.2528683477220125,77.85889832077628,0.0,731137762,GLD   270115C00365000,GLD
2026-08-14,2027-01-15,375.0,0.4216290212183436,154,0.9340440370628673,401.48,43.2,0.038423071232420045,2026-08-14,0.23535739348018542,85.34090515682155,4.0,731137844,GLD   270115C00375000,GLD
2026-08-14,2027-01-15,405.0,0.4216290212183436,154,1.0087675600278967,401.48,25.19,0.038423071232420045,2026-08-14,0.22861399853928016,103.19785172621468,22.0,764260513,GLD   270115C00405000,GLD
2026-08-14,2027-01-15,420.0,0.4216290212183436,154,1.0461293215104115,401.48,18.7,0.038423071232420045,2026-08-14,0.2288892081690021,103.25386042367208,71.0,772352864,GLD   270115C00420000,GLD
2026-08-14,2027-01-15,425.0,0.4216290212183436,154,1.058583242004583,401.48,16.92,0.038423071232420045,2026-08-14,0.22971032023401936,101.97260588479189,8.0,772834192,GLD   270115C00425000,GLD
2026-08-14,2027-03-31,365.0,0.6269678302532512,229,0.9091361960745242,401.48,56.67,0.038813103647706154,2026-08-14,0.23886568995723506,97.37858352557704,2.0,870310821,GLD   270331C00365000,GLD
2026-08-14,2027-03-31,375.0,0.6269678302532512,229,0.9340440370628673,401.48,50.25,0.038813103647706154,2026-08-14,0.24081937937969344,107.1396699376353,0.0,870310872,GLD   270331C00375000,GLD
2026-08-14,2027-03-31,425.0,0.6269678302532512,229,1.058583242004583,401.48,23.85,0.038813103647706154,2026-08-14,0.2333088693766855,126.37507801853845,0.0,870312000,GLD   270331C00425000,GLD
2026-08-14,2027-06-30,397.0,0.8761122518822724,320,0.9888412872372222,401.48,44.0,0.03895688920439801,2026-08-14,0.23495736118229105,142.60860505372622,1.0,897590904,GLD   270630C00397000,GLD
