symbol,bars,return_observations,start_utc,end_utc,total_simple_return,annualized_mean_log_return,annualized_volatility,annualized_downside_volatility,daily_skewness,daily_excess_kurtosis,historical_var_05_log_return,maximum_drawdown,semantic_role
B,84,83,2026-04-27T00:00:00+00:00,2026-08-25T00:00:00+00:00,0.2020648968,0.5587745539,0.5143513489,0.2852942145,0.1998264354,0.1808185722,-0.04499092902,-0.2609802673,current Barrick Mining Corporation NYSE equity; USD/share
GLD,1423,1422,2021-01-04T00:00:00+00:00,2026-08-25T00:00:00+00:00,1.342329,0.1508359528,0.1821449366,0.1405013164,-0.7334557736,7.570334511,-0.01813510449,-0.2623281013,SPDR Gold Shares ETF proxy; USD/share; never relabelled gold USD/oz or realized gold price
