time_years,path_1,path_2,path_3
0.0,0.03,0.045,0.07
0.003968253968253968,0.03702883529807807,0.041011103701523235,0.06649296725424055
0.007936507936507936,0.03198823643275977,0.041182689916579134,0.06375645172780471
0.011904761904761904,0.03293408293104284,0.033144420947453006,0.05833596593502813
0.015873015873015872,0.031712209528645084,0.03808183601128328,0.0717504575786609
0.01984126984126984,0.029364103574246014,0.04109290443818144,0.0729500812318669
0.023809523809523808,0.029275076054820107,0.035711182453613696,0.07462769819666268
0.027777777777777776,0.03003459874465391,0.044442419191330275,0.06804428995638254
0.031746031746031744,0.031217939876045684,0.0412604101254261,0.0624590141319781
0.03571428571428571,0.029603007964928502,0.034558174760462246,0.056916430218513725
0.03968253968253968,0.03033117577302024,0.02879740664626924,0.06630046738810363
0.04365079365079365,0.02588997316462078,0.02193790346434302,0.06933012490850407
0.047619047619047616,0.025461858261752554,0.01799508585475134,0.06034380422919558
0.051587301587301584,0.026750724442536893,0.01603783537698235,0.06661992610792135
0.05555555555555555,0.026526081882469854,0.010946964642306191,0.068018706919042
0.05952380952380952,0.025250879173691433,0.009617244400433624,0.060948988756039685
0.06349206349206349,0.024886873532827543,0.00907821548846015,0.06044898000467975
0.06746031746031746,0.024556210830103595,0.011061174687366067,0.07104646701678448
0.07142857142857142,0.0206685516154905,0.014824287484869709,0.06530070380459069
0.07539682539682539,0.01641340105604053,0.011677541759693757,0.06381095252153574
0.07936507936507936,0.020259800632146885,0.014608002010441566,0.06773594298066989
0.08333333333333333,0.019666291003526043,0.012519708748452369,0.07053645982043487
0.0873015873015873,0.018039208869386692,0.017188905719137913,0.0610951829650601
0.09126984126984126,0.016788341206628362,0.02115659822473833,0.06472495727106276
0.09523809523809523,0.016816686269856013,0.02453030165057587,0.06836376948305685
0.0992063492063492,0.01850941019773705,0.028624818214842588,0.0659888024620315
0.10317460317460317,0.01930783162537634,0.02381267510683827,0.07544704597273097
0.10714285714285714,0.02440159844334603,0.03348218906824613,0.07787415104501678
0.1111111111111111,0.026317804837417462,0.03134423366939425,0.08600186141150509
0.11507936507936507,0.02391418740204931,0.02933263071445848,0.08774742137933747
0.11904761904761904,0.025497538714132215,0.02942260615311947,0.10068392422240884
0.12301587301587301,0.030987065756134163,0.03388278608271315,0.10667200231351795
0.12698412698412698,0.0321185771246352,0.02865141728026921,0.09557723444836523
0.13095238095238093,0.034578077106629135,0.029017576294671905,0.09590969951567124
0.1349206349206349,0.03827311210046145,0.02827278545968334,0.08869320255111593
0.1388888888888889,0.0352014840222386,0.03304534463749982,0.08743245579653044
0.14285714285714285,0.03677562357611728,0.02974329460603622,0.08110497059105906
0.1468253968253968,0.04069043454381606,0.032143732335084364,0.07148502139620358
0.15079365079365079,0.043838796375290236,0.030386525958722863,0.06965240374074468
0.15476190476190477,0.04526836044293517,0.028542707144571723,0.06055152362551315
0.15873015873015872,0.0548826806902018,0.030962783846422766,0.06176867603295082
0.16269841269841268,0.05069134873009211,0.026421219476272493,0.055560880261917925
0.16666666666666666,0.056708091303221846,0.024414661670244156,0.05311282421604858
0.17063492063492064,0.055419111964773615,0.02011316549263554,0.056000580187290275
0.1746031746031746,0.055821971979695774,0.027016488769504778,0.05856006851731399
0.17857142857142855,0.0611689295374359,0.029143715593066208,0.056923361754709856
0.18253968253968253,0.06081628398493778,0.03086411671390544,0.05601613937914999
0.1865079365079365,0.0571892715480341,0.029206244734539283,0.05853922587140904
0.19047619047619047,0.05562878394595726,0.028120815579442602,0.05564206714333188
0.19444444444444442,0.06506025401477161,0.036197334088824584,0.05570337909141294
0.1984126984126984,0.062248136796934174,0.03434093827280846,0.055997799338071474
0.20238095238095238,0.05524535621499403,0.03095622347008092,0.04664853477426394
0.20634920634920634,0.05581473598509311,0.03712453529031762,0.043407771492155425
0.2103174603174603,0.054076948523746664,0.03816846371137356,0.04211530923351737
0.21428571428571427,0.05570829269851836,0.03514855511495235,0.04029726541263454
0.21825396825396826,0.06207157900273711,0.02609932722776747,0.04305289923016748
0.2222222222222222,0.060089677544161425,0.021578991770230132,0.04926647367572711
0.22619047619047616,0.05881622638967043,0.02259393780368457,0.05565824779337908
0.23015873015873015,0.060300320872278254,0.021128283269980314,0.051544921613434776
0.23412698412698413,0.06164305380606353,0.02395777474680269,0.05567841473653487
0.23809523809523808,0.06244199376758548,0.028674646369829877,0.05575010812576399
0.24206349206349204,0.05761487877139303,0.027373656968929346,0.06098904028465887
0.24603174603174602,0.053455751335148106,0.024081535756126916,0.062283510332429404
0.25,0.05771202377419634,0.02465322884813135,0.06950574153960026
0.25396825396825395,0.06189783308234083,0.025837876564169967,0.07213261201102332
0.2579365079365079,0.07259844838403634,0.02089627613642108,0.06878892050028408
0.26190476190476186,0.07080322054783772,0.020253733372345248,0.06487217383462598
0.26587301587301587,0.07592919208005915,0.019825758923056904,0.06318647695547187
0.2698412698412698,0.0735751080918894,0.0244338352995478,0.07050869789052149
0.2738095238095238,0.06833458263486573,0.025995266373666264,0.06642618145153865
0.2777777777777778,0.06717059743679492,0.02763125350865386,0.06966843284418776
0.28174603174603174,0.07741243795227258,0.025408007641787977,0.06421559768474597
0.2857142857142857,0.07975695883298274,0.023862704184231327,0.06695705979652225
0.28968253968253965,0.07205605868312925,0.01961345458775766,0.07157625491233956
0.2936507936507936,0.07279611212039899,0.022320141297809046,0.07214902151572448
0.2976190476190476,0.061816385728832454,0.0271105140979804,0.07579112546404651
0.30158730158730157,0.0614112852410242,0.02860918266482455,0.06731077916418998
0.3055555555555555,0.0699395807481134,0.028126626607495486,0.07549720318532892
0.30952380952380953,0.07481776374625136,0.029209868218866678,0.07474977166122108
0.3134920634920635,0.07428877640507667,0.02534705793594389,0.07589658307156742
0.31746031746031744,0.07255764563898097,0.025325077884265617,0.06747894083794088
0.3214285714285714,0.07539861501557528,0.018830398754813675,0.07173349906279264
0.32539682539682535,0.08181844850358314,0.019651099505023317,0.07710324219495177
0.32936507936507936,0.09101640405601083,0.0179523081170062,0.08071700727345525
0.3333333333333333,0.08328973825168168,0.017130157634547036,0.07797855746230747
0.33730158730158727,0.07394566005567109,0.022665315120264533,0.08086562596695877
0.3412698412698413,0.08198652638673563,0.02328055089573302,0.0762823773425443
0.34523809523809523,0.08703278650496542,0.029080099222963493,0.07401632454619693
0.3492063492063492,0.07741024617130578,0.032782033877638256,0.0736294409384734
