time_years,diffusion_benchmark,jump_diffusion_example
0.0,100.0,100.0
0.003968253968253968,101.31321240754932,101.31321240754932
0.007936507936507936,101.09395237114272,101.09395237114272
0.011904761904761904,99.1400268463193,99.1400268463193
0.015873015873015872,99.04377417148665,99.04377417148665
0.01984126984126984,99.96521041927751,99.96521041927751
0.023809523809523808,98.05745619678473,98.05745619678473
0.027777777777777776,98.5297896456111,98.5297896456111
0.031746031746031744,100.36904220140678,100.36904220140678
0.03571428571428571,98.93935668167063,98.93935668167063
0.03968253968253968,99.5211283878411,99.5211283878411
0.04365079365079365,99.84162216627517,99.84162216627517
0.047619047619047616,99.56099235863512,99.56099235863512
0.051587301587301584,100.19025655736846,100.19025655736846
0.05555555555555555,100.97046154935197,100.97046154935197
0.05952380952380952,101.98021977930554,101.98021977930554
0.06349206349206349,101.8639339742127,101.8639339742127
0.06746031746031746,101.63153034641228,101.63153034641228
0.07142857142857142,103.27639508545026,103.27639508545026
0.07539682539682539,101.90588145735133,101.90588145735133
0.07936507936507936,100.67787110321702,100.67787110321702
0.08333333333333333,100.2091350499085,100.2091350499085
0.0873015873015873,100.38409349320767,100.38409349320767
0.09126984126984126,100.14932254375817,100.14932254375817
0.09523809523809523,100.75662390433362,100.75662390433362
0.0992063492063492,101.42001415868035,101.42001415868035
0.10317460317460317,103.30553824930617,103.30553824930617
0.10714285714285714,104.70460161576925,104.70460161576925
0.1111111111111111,104.23206665827674,104.23206665827674
0.11507936507936507,102.26037411546334,102.26037411546334
0.11904761904761904,103.13456754944963,103.13456754944963
0.12301587301587301,105.57659819661865,105.57659819661865
0.12698412698412698,104.69677758186329,104.69677758186329
0.13095238095238093,103.87364359557097,103.87364359557097
0.1349206349206349,104.92623628291335,104.92623628291335
0.1388888888888889,104.14397100064762,104.14397100064762
0.14285714285714285,105.20199771151478,105.20199771151478
0.1468253968253968,105.69544969117312,105.69544969117312
0.15079365079365079,104.74030553777789,104.74030553777789
0.15476190476190477,103.51599073707737,103.51599073707737
0.15873015873015872,104.93776553276884,104.93776553276884
0.16269841269841268,105.44469107146526,105.44469107146526
0.16666666666666666,105.43556449039697,105.43556449039697
0.17063492063492064,106.95196235745108,106.95196235745108
0.1746031746031746,107.73854147569418,107.73854147569418
0.17857142857142855,108.03894084235843,108.03894084235843
0.18253968253968253,110.2971794115497,110.2971794115497
0.1865079365079365,109.96744733659116,109.96744733659116
0.19047619047619047,108.65139704196423,108.65139704196423
0.19444444444444442,106.11205735182405,106.11205735182405
0.1984126984126984,105.86256241968164,105.86256241968164
0.20238095238095238,106.9953769735999,106.9953769735999
0.20634920634920634,107.52094003332711,107.52094003332711
0.2103174603174603,106.3468218103589,106.3468218103589
0.21428571428571427,105.95503241831385,105.95503241831385
0.21825396825396826,108.41330699637841,108.41330699637841
0.2222222222222222,109.82884239264195,109.82884239264195
0.22619047619047616,111.7664900229147,111.7664900229147
0.23015873015873015,113.61292418999031,113.61292418999031
0.23412698412698413,114.00538377938305,114.00538377938305
0.23809523809523808,114.30777488888586,114.30777488888586
0.24206349206349204,115.82790746262542,115.82790746262542
0.24603174603174602,115.84165408409667,115.84165408409667
0.25,118.36853850255515,118.36853850255515
0.25396825396825395,118.53842698569406,118.53842698569406
0.2579365079365079,117.20851981526212,117.20851981526212
0.26190476190476186,117.70282680793456,117.70282680793456
0.26587301587301587,117.37328455320184,117.37328455320184
0.2698412698412698,116.46135899595129,116.46135899595129
0.2738095238095238,116.46015364500681,116.46015364500681
0.2777777777777778,116.84796452144086,116.84796452144086
0.28174603174603174,116.73472641328478,116.73472641328478
0.2857142857142857,116.3181660300236,116.3181660300236
0.28968253968253965,118.20568871206856,118.20568871206856
0.2936507936507936,117.85009537435597,117.85009537435597
0.2976190476190476,117.61483041899925,117.61483041899925
0.30158730158730157,118.76491932583954,118.76491932583954
0.3055555555555555,121.55015440244365,121.55015440244365
0.30952380952380953,120.51065487453603,120.51065487453603
0.3134920634920635,120.24942336286786,120.24942336286786
0.31746031746031744,122.09169559656674,122.09169559656674
0.3214285714285714,121.94262800457555,121.94262800457555
0.32539682539682535,121.90565984251248,121.90565984251248
0.32936507936507936,120.43150883837923,120.43150883837923
0.3333333333333333,121.93527968862799,121.93527968862799
0.33730158730158727,122.7616179201527,122.7616179201527
0.3412698412698413,123.63785400977592,123.63785400977592
0.34523809523809523,125.07996779367447,125.07996779367447
0.3492063492063492,124.81996531787185,124.81996531787185
0.35317460317460314,126.62973198038028,126.62973198038028
0.3571428571428571,123.45157880315905,123.45157880315905
0.3611111111111111,123.25830201910446,123.25830201910446
0.36507936507936506,123.58097749022075,123.58097749022075
0.369047619047619,124.76280164053586,124.76280164053586
0.373015873015873,122.58655545704971,122.58655545704971
0.376984126984127,124.06306027162924,124.06306027162924
0.38095238095238093,123.58956278907827,123.58956278907827
0.3849206349206349,123.8469228844169,123.8469228844169
0.38888888888888884,125.49037973293993,125.49037973293993
0.39285714285714285,125.06566250606296,125.06566250606296
0.3968253968253968,126.6846906260195,126.6846906260195
0.40079365079365076,126.00506308976979,126.00506308976979
0.40476190476190477,125.21778819648239,125.21778819648239
0.4087301587301587,124.0843187247537,124.0843187247537
0.4126984126984127,124.19431845477231,124.19431845477231
0.41666666666666663,122.98514177797246,122.98514177797246
0.4206349206349206,123.72804605984757,123.72804605984757
0.4246031746031746,123.71954997271071,123.71954997271071
0.42857142857142855,124.4855723168214,124.4855723168214
0.4325396825396825,124.0336922106274,110.786764873875
0.4365079365079365,125.07943564156534,111.7208218187008
0.44047619047619047,124.39132635794701,111.10620332228211
0.4444444444444444,124.31387216430369,111.03702131708077
0.4484126984126984,123.2962481535394,110.12808060910679
0.45238095238095233,120.8135752915772,107.91055979105448
0.45634920634920634,120.63838306391537,107.7540782755261
0.4603174603174603,121.92544191765624,108.90367790500494
0.46428571428571425,122.88606970309539,109.76170964380083
0.46825396825396826,121.80528963783823,108.79635801364304
0.4722222222222222,120.11157559928436,107.28353439605529
0.47619047619047616,119.97863876371242,107.16479535279133
0.4801587301587301,119.7483551871909,106.95910630176253
0.4841269841269841,118.28434289796208,105.65145204775686
0.4880952380952381,119.14685032330257,106.42184278296855
0.49206349206349204,117.41627024765549,104.87609045939388
0.496031746031746,116.28950313636035,103.86966324754654
0.5,115.67587732176625,103.32157330818931
0.503968253968254,116.40107317705784,103.96931749185245
0.5079365079365079,115.20224599387656,102.89852629874683
0.5119047619047619,114.63624171466591,102.39297186526247
0.5158730158730158,114.9983967123611,102.71644833252284
0.5198412698412698,115.54586754285809,103.20544870889299
0.5238095238095237,117.74016788164438,105.16539548918364
0.5277777777777778,118.0974653038295,105.48453317505084
0.5317460317460317,118.97997705442036,106.27279175276949
0.5357142857142857,118.98798628420397,106.27994558848172
0.5396825396825397,120.42186642275243,107.56068583684043
0.5436507936507936,119.13845408320454,106.41434327004602
0.5476190476190476,119.97853484268572,107.1647025306384
0.5515873015873015,121.43783253810358,108.46814571435579
0.5555555555555556,122.76201690861832,109.65090581680244
0.5595238095238095,125.45037602380032,112.05214538229436
0.5634920634920635,125.19754594033945,111.82631781471817
0.5674603174603174,124.53606501463874,111.23548373989507
0.5714285714285714,123.39865805046522,110.2195530225234
0.5753968253968254,121.17492490333157,108.23331688843025
0.5793650793650793,121.43233497195905,108.46323529399358
0.5833333333333333,122.3897133453605,109.31836466133716
0.5873015873015872,122.70959268652202,109.60408055615297
0.5912698412698413,122.90111534922403,109.7751483992738
0.5952380952380952,123.00278074476157,109.86595582482475
0.5992063492063492,121.82188512168892,108.81118108255738
0.6031746031746031,120.327186007845,107.47611738872315
0.6071428571428571,122.20506969923979,109.15344114867176
0.611111111111111,122.1385437876751,109.09402027365644
0.615079365079365,119.99374167105049,107.17828525391701
0.6190476190476191,119.19394276455498,106.4639057025139
0.623015873015873,118.76787956896185,101.86878495013079
0.626984126984127,117.40653226216753,100.70113931612966
0.6309523809523809,114.79275797219405,98.45927045377545
0.6349206349206349,114.11110365643624,97.87460650966638
0.6388888888888888,113.69795666276363,97.52024485562346
0.6428571428571428,113.10344718781732,97.01032619685887
0.6468253968253967,113.87882435413368,97.67537747248475
0.6507936507936507,115.5485338037386,99.10750940468989
0.6547619047619048,114.37969308890708,98.10497922689892
0.6587301587301587,114.60006957991058,98.29399906501993
0.6626984126984127,116.01212696025998,99.50513940143162
0.6666666666666666,116.54188788745418,99.95952237234249
0.6706349206349206,116.90188377899776,100.2682956214034
0.6746031746031745,115.99894563519855,99.4938336041663
0.6785714285714285,114.662757155491,98.3477670297173
0.6825396825396826,114.10974172275068,97.87343836108752
0.6865079365079365,114.11357825225184,97.87672900330601
0.6904761904761905,116.6708545573262,100.07013879495277
0.6944444444444444,116.20327242783308,99.66908740320673
0.6984126984126984,117.71180162703072,100.96297289768361
0.7023809523809523,118.50517506891688,101.6434598174633
0.7063492063492063,118.00951269986601,101.2183236319562
0.7103174603174602,119.0136561326131,102.07959076732006
0.7142857142857142,120.80347478748747,103.61474195731215
0.7182539682539683,120.7143027347281,103.53825790540287
0.7222222222222222,119.6063567261994,102.58795792455973
0.7261904761904762,118.3702507497814,101.52773344009228
0.7301587301587301,120.49634272139672,103.3513107122193
0.7341269841269841,122.26947464862745,104.8721494746761
0.738095238095238,122.34817272851298,104.93964986118584
