date,expiry,K,price,conId,localSymbol,timestamp,dte,T,moneyness,rate,implied_vol,vega,spot,curve_date
2026-07-08,2026-10-16,375.0,20.5,827014423,GLD   261016C00375000,,100,0.2737850787132101,1.0014688209373748,0.03786367559369666,0.241683964713011,77.46990767538246,374.45,2026-07-08
2026-07-08,2026-10-16,405.0,8.81,827014751,GLD   261016C00405000,,100,0.2737850787132101,1.0815863266123649,0.03786367559369666,0.23729198185866696,69.45440648495125,374.45,2026-07-08
2026-07-08,2026-10-16,420.0,5.6,827014933,GLD   261016C00420000,,100,0.2737850787132101,1.1216450794498598,0.03786367559369666,0.23958028878970072,58.095116963904296,374.45,2026-07-08
2026-07-08,2026-10-16,425.0,4.82,827395259,GLD   261016C00425000,,100,0.2737850787132101,1.1349979970623583,0.03786367559369666,0.2409844902566634,54.04807556349415,374.45,2026-07-08
2026-07-08,2026-11-20,365.0,28.0,838421927,GLD   261120C00365000,,135,0.36960985626283366,0.9747629857123782,0.03838104540906147,0.2231911367186345,85.09675617897464,374.45,2026-07-08
2026-07-08,2026-11-20,375.0,22.89,838422047,GLD   261120C00375000,,135,0.36960985626283366,1.0014688209373748,0.03838104540906147,0.22664113356852905,89.64647158400052,374.45,2026-07-08
2026-07-08,2026-11-20,420.0,7.55,838422473,GLD   261120C00420000,,135,0.36960985626283366,1.1216450794498598,0.03838104540906147,0.2293248255907558,73.43201820981223,374.45,2026-07-08
2026-07-08,2026-12-18,365.0,29.8,843267244,GLD   261218C00365000,,163,0.4462696783025325,0.9747629857123782,0.03874356436766656,0.2153611615222879,93.19874703433071,374.45,2026-07-08
2026-07-08,2026-12-18,405.0,12.8,843267622,GLD   261218C00405000,,163,0.4462696783025325,1.0815863266123649,0.03874356436766656,0.22054930680887774,94.14739784026023,374.45,2026-07-08
2026-07-08,2026-12-18,425.0,8.65,843267789,GLD   261218C00425000,,163,0.4462696783025325,1.1349979970623583,0.03874356436766656,0.23185634254785256,81.90855584858336,374.45,2026-07-08
2026-07-08,2027-01-15,365.0,34.6,731137762,GLD   270115C00365000,,191,0.5229295003422314,0.9747629857123782,0.03906524651088692,0.23992035442637283,101.54234682879908,374.45,2026-07-08
2026-07-08,2027-01-15,375.0,30.0,731137844,GLD   270115C00375000,,191,0.5229295003422314,1.0014688209373748,0.03906524651088692,0.24642227156655866,105.98049887781266,374.45,2026-07-08
2026-07-08,2027-01-15,420.0,11.5,772352864,GLD   270115C00420000,,191,0.5229295003422314,1.1216450794498598,0.03906524651088692,0.22909589245421813,95.95550265736841,374.45,2026-07-08
2026-07-08,2027-01-15,425.0,11.0,772834192,GLD   270115C00425000,,191,0.5229295003422314,1.1349979970623583,0.03906524651088692,0.23665872311303393,93.62076416888289,374.45,2026-07-08
2026-07-08,2027-03-31,420.0,16.1,870311879,GLD   270331C00420000,,266,0.7282683093771389,1.1216450794498598,0.03975562365794286,0.22523933486575265,119.88761134458463,374.45,2026-07-08
