horizon,gold_variance_forecast,silver_variance_forecast
1,0.9812496916935645,2.6856935051611455
2,0.9836693550264386,2.6978024687856488
3,0.9860635342070687,2.7098168127461126
4,0.9884324976372638,2.7217372764023287
5,0.9907765108919964,2.733564593336718
6,0.9930958367491749,2.7452994913994746
7,0.995390735219103,2.756942692753358
8,0.9976614635736281,2.768494913918134
9,0.9999082763749829,2.779956865814671
10,1.0021314255043239,2.7913292538086876
