,gold,silver
count,4694.0,4694.0
mean,0.027831586374159896,0.01373607827198501
std,1.112163813224872,1.9896567085755095
min,-9.19050745798384,-19.83488572771758
25%,-0.5154857537427651,-0.86840999815948
50%,0.050457879961489996,0.072758517115315
75%,0.6044621545956625,0.98707125474915
max,10.697398423801129,13.47325985936586
