Asset,p_AIC,q_AIC,AIC_min,p_BIC,q_BIC,BIC_min
Gold,2,0,-28909.413998459517,0,1,-28889.99386349533
Silver,1,0,-23448.942368870128,1,0,-23429.580247740894
