Date,gold_cond_vol,silver_cond_vol
2020-09-16,1.1662978750332766,2.975711552845852
2020-09-17,1.136791109699616,2.8864405276235607
2020-09-18,1.1143097623432285,2.800196938269589
2020-09-21,1.0854234257997815,2.731120262251344
2020-09-22,1.1548825453018334,3.2362603630479825
2020-09-23,1.1300436768558133,3.1476487132060598
2020-09-24,1.2084768442334846,3.507497139678327
2020-09-25,1.1785761752146473,3.427499996168515
2020-09-28,1.1491345927892176,3.335031284571331
2020-09-29,1.1406095865927786,3.3268694452037657
2020-09-30,1.1259356497451076,3.2655312859173873
2020-10-01,1.1053593974651057,3.2952258705691277
2020-10-02,1.0943805456485856,3.231784514688109
2020-10-05,1.0662202471609945,3.134199677594237
2020-10-06,1.0441922825858267,3.0830408212733307
2020-10-07,1.053521125738505,3.1342502392336953
2020-10-08,1.0266958547680882,3.064235225630895
2020-10-09,1.0036576571940683,2.9735707462090257
2020-10-12,1.0586206059765781,3.150849865129578
2020-10-13,1.0338485752592719,3.0566672788733213
2020-10-14,1.0713707406035524,3.086325734835464
2020-10-15,1.0458384273600498,2.9938080491768595
2020-10-16,1.0221847975930838,2.9044279168245843
2020-10-19,0.9998938700453878,2.823005688533537
2020-10-20,0.9750091889145668,2.7441246819383442
2020-10-21,0.95678834592672,2.7012967523445255
2020-10-22,0.9481264591925878,2.635822586531715
2020-10-23,0.9528284528483015,2.5796739095823886
2020-10-26,0.9301594459467879,2.5039927663586674
2020-10-27,0.9080711536445115,2.4542130345385873
2020-10-28,0.8884260279207722,2.386153016888988
2020-10-29,0.9448071919431806,2.5234312288555363
2020-10-30,0.9272695699279784,2.4507247947960056
2020-11-02,0.9105292897589474,2.3986221397186354
2020-11-03,0.9146052299966543,2.371456978792818
2020-11-04,0.9015492304853641,2.303180150814713
2020-11-05,0.8806111219879891,2.246688992901829
2020-11-06,1.0006033582163687,2.5953297444556847
2020-11-09,0.9760620648200548,2.525485619666225
2020-11-10,1.403571206661729,2.777586445690494
2020-11-11,1.365900034360356,2.695982847027282
2020-11-12,1.331688856295509,2.6179996372516023
2020-11-13,1.3014805210015414,2.5411502657068175
2020-11-16,1.2743881099526302,2.4933593890168697
2020-11-17,1.2394443472992474,2.423807344830139
2020-11-18,1.2089236072052627,2.370645794280756
2020-11-19,1.183977427757494,2.3103703719454463
2020-11-20,1.153220800639528,2.247956471473054
2020-11-23,1.124444972318836,2.185069419065974
2020-11-24,1.1858608997458384,2.2033896490417058
2020-11-25,1.207361132231593,2.164710527773598
2020-11-27,1.1748962827551508,2.105829463260879
2020-11-30,1.1675464362911523,2.173941520930057
2020-12-01,1.1471211523546974,2.1123798167516896
2020-12-02,1.210918818016255,2.4600109300040782
2020-12-03,1.1897970928100772,2.388641852169631
2020-12-04,1.17078459524173,2.3219851119671953
2020-12-07,1.1416188718932667,2.2558519992855146
2020-12-08,1.1597647837193632,2.219839730356849
2020-12-09,1.1313809592713662,2.1566508503470865
2020-12-10,1.170398754289142,2.1833235670014277
2020-12-11,1.1401754701326634,2.123640033652879
2020-12-14,1.1106866232286203,2.064769945469828
2020-12-15,1.0893834933845932,2.009771992909055
2020-12-16,1.1056628282462533,2.0657596445895314
2020-12-17,1.0835091437644322,2.1731983663188372
2020-12-18,1.0808569868400937,2.175382921869421
2020-12-21,1.0537856353657717,2.1216882590372728
