,phi,se_phi,t_phi,R2
Gold (return),-0.0024168276975416745,0.014595135498606767,-0.16559131621439085,5.84530456726462e-06
Silver (return),0.006332657437744388,0.014596014761707484,0.4338620877774157,4.012550802234838e-05
