Asset,p_AIC,d_AIC,q_AIC,AIC_min,p_BIC,d_BIC,q_BIC,BIC_min
Gold,2,1,0,-28909.413999773635,0,1,1,-28889.9938645395
Silver,1,1,0,-23448.942368716824,1,1,0,-23429.58024758759
