asset,mu,se_mu,omega,se_omega,alpha,se_alpha,beta,se_beta,alpha_plus_beta,sigma2_inf,aic,bic,loglikelihood,nobs
Gold,0.019505834946344176,0.013896052892417556,0.012754289721897747,0.005206717417975783,0.05142945105277067,0.013706808200358819,0.9380384423116728,0.016012608297124132,0.9894678933644434,1.2109913204675522,13405.851215891911,13431.667377397554,-6698.925607945956,4694
Silver,-0.00910043785873027,0.023275160782664457,0.033095021973602826,0.015147665277864967,0.055023785127778654,0.014624105853208554,0.9371621965157818,0.016452055355479847,0.9921859816435604,4.235339675946503,18723.56597234384,18749.382133849485,-9357.78298617192,4694
