,gold_abs_ret,silver_abs_ret
count,4694.0,4694.0
mean,0.7851840190450385,1.3650970589019418
std,0.788059513680137,1.4474237386418987
min,0.0,0.0
25%,0.2569780400779,0.41759904661921243
50%,0.55845463202719,0.9322681389784551
75%,1.0497342646545573,1.8338223454005451
max,10.697398423801129,19.83488572771758
