,(1),(2)
$r^{usd}_t$,,-0.9248***
,,(0.0466)
$\Delta y^{10Y}_t$,-0.0375***,-0.0292***
,(0.0039),(0.0036)
$r^{equity}_t$,,0.0224
,,(0.0250)
Constant,,
,,
Observations,4694,4694
$R^2$,0.038,0.197
Adjusted $R^2$,0.038,0.196
