,mean,std,skewness,excess_kurtosis,acf_abs_ret_1,acf_sq_ret_1
gold,0.00027831586374159887,0.01112163813224872,-0.325672607081448,6.237700061874905,0.11452047500710791,0.10978879999612993
silver,0.00013736078271985012,0.019896567085755094,-0.8468862428098926,7.782757352539177,0.15629643606275256,0.1437858324079901
