Asset,p_AIC,p_BIC,R2_AIC,R2_BIC,F_AIC,F_pvalue_AIC,F_BIC,F_pvalue_BIC
Gold,1,1,5.845304567486664e-06,5.845304567486664e-06,0.014355670446059938,0.904634710352525,0.014355670446059938,0.904634710352525
Silver,1,1,4.01255080224594e-05,4.01255080224594e-05,0.07793934572974978,0.7801219211588761,0.07793934572974978,0.7801219211588761
