date,expiry,K,T,dte,moneyness,spot,price,rate,curve_date,implied_vol,vega,volume,conId,localSymbol,tradingClass
2026-06-17,2026-10-16,375.0,0.33127994524298426,121,0.9650025733401956,388.6,39.71,0.03777261844474632,2026-06-17,0.34134321929281575,84.12515185167136,1.0,827014423,GLD   261016C00375000,GLD
2026-06-17,2026-10-16,405.0,0.33127994524298426,121,1.0422027792074111,388.6,16.27,0.03777261844474632,2026-06-17,0.23740430642785504,88.32704862890685,130.0,827014751,GLD   261016C00405000,GLD
2026-06-17,2026-10-16,420.0,0.33127994524298426,121,1.080802882141019,388.6,11.3,0.03777261844474632,2026-06-17,0.2382505916385912,82.14291676103937,20.0,827014933,GLD   261016C00420000,GLD
2026-06-17,2026-10-16,425.0,0.33127994524298426,121,1.0936695831188883,388.6,10.05,0.03777261844474632,2026-06-17,0.23983934029592202,79.17640021387946,5.0,827395259,GLD   261016C00425000,GLD
2026-06-17,2026-11-20,375.0,0.4271047227926078,156,0.9650025733401956,388.6,41.5,0.038102332577617,2026-06-17,0.3112429914101027,95.06670563128897,0.0,838422047,GLD   261120C00375000,GLD
2026-06-17,2026-11-20,405.0,0.4271047227926078,156,1.0422027792074111,388.6,20.19,0.038102332577617,2026-06-17,0.2420717876161449,100.99822694313004,7.0,838422292,GLD   261120C00405000,GLD
2026-06-17,2026-11-20,420.0,0.4271047227926078,156,1.080802882141019,388.6,19.35,0.038102332577617,2026-06-17,0.2881969159697182,98.62655734534918,5.0,838422473,GLD   261120C00420000,GLD
2026-06-17,2026-11-20,425.0,0.4271047227926078,156,1.0936695831188883,388.6,14.52,0.038102332577617,2026-06-17,0.2546084332709201,95.05779936237268,15.0,838422532,GLD   261120C00425000,GLD
2026-06-17,2026-12-18,405.0,0.5037645448323066,184,1.0422027792074111,388.6,23.4,0.03836002421458926,2026-06-17,0.24757477882849055,109.95697534854254,2.0,843267622,GLD   261218C00405000,GLD
2026-06-17,2026-12-18,420.0,0.5037645448323066,184,1.080802882141019,388.6,17.25,0.03836002421458926,2026-06-17,0.24174641795577484,106.5288893583763,319.0,843267745,GLD   261218C00420000,GLD
2026-06-17,2026-12-18,425.0,0.5037645448323066,184,1.0936695831188883,388.6,15.23,0.03836002421458926,2026-06-17,0.23754644203642383,104.1286763607704,6.0,843267789,GLD   261218C00425000,GLD
2026-06-17,2027-01-15,337.0,0.5804243668720055,212,0.8672156459083891,388.6,75.75,0.03846327473641488,2026-06-17,0.3628940583053045,90.19945307621776,0.0,811875034,GLD   270115C00337000,GLD
2026-06-17,2027-01-15,375.0,0.5804243668720055,212,0.9650025733401956,388.6,40.05,0.03846327473641488,2026-06-17,0.24215738376202064,108.75012439708453,12.0,731137844,GLD   270115C00375000,GLD
2026-06-17,2027-01-15,405.0,0.5804243668720055,212,1.0422027792074111,388.6,24.9,0.03846327473641488,2026-06-17,0.23912629674104977,118.09933874611772,5.0,764260513,GLD   270115C00405000,GLD
2026-06-17,2027-01-15,420.0,0.5804243668720055,212,1.080802882141019,388.6,19.7,0.03846327473641488,2026-06-17,0.24285406430652368,115.61087120781013,31.0,772352864,GLD   270115C00420000,GLD
2026-06-17,2027-01-15,425.0,0.5804243668720055,212,1.0936695831188883,388.6,17.6,0.03846327473641488,2026-06-17,0.238829182842467,113.61940636117103,18.0,772834192,GLD   270115C00425000,GLD
2026-06-17,2027-03-31,401.0,0.785763175906913,287,1.0319094184251156,388.6,32.23,0.03873983863416207,2026-06-17,0.23621847711065785,136.73653930285997,10.0,870311424,GLD   270331C00401000,GLD
