conId,status,error,expiry,K
887870798,failed,no bars,2027-09-17 00:00:00,425.0
887871325,failed,no bars,2027-09-17 00:00:00,475.0
887871585,failed,no bars,2027-09-17 00:00:00,500.0
816976113,failed,no bars,2028-01-21 00:00:00,250.0
814294747,failed,no bars,2028-01-21 00:00:00,275.0
814295299,failed,no bars,2028-01-21 00:00:00,325.0
814295591,failed,no bars,2028-01-21 00:00:00,350.0
814296135,failed,no bars,2028-01-21 00:00:00,400.0
816976363,failed,no bars,2028-01-21 00:00:00,425.0
816976936,failed,no bars,2028-01-21 00:00:00,475.0
816977231,failed,no bars,2028-01-21 00:00:00,500.0
852303330,failed,no bars,2028-06-16 00:00:00,250.0
852303651,failed,no bars,2028-06-16 00:00:00,275.0
852304105,failed,no bars,2028-06-16 00:00:00,325.0
851891628,failed,no bars,2028-06-16 00:00:00,350.0
851891820,failed,no bars,2028-06-16 00:00:00,400.0
852304826,failed,no bars,2028-06-16 00:00:00,425.0
852305199,failed,no bars,2028-06-16 00:00:00,475.0
851892225,failed,no bars,2028-06-16 00:00:00,500.0
920627487,failed,no bars,2026-10-23 00:00:00,245.0
920627920,failed,no bars,2026-10-23 00:00:00,280.0
920628480,failed,no bars,2026-10-23 00:00:00,320.0
920632222,failed,no bars,2026-10-23 00:00:00,470.0
920632694,failed,no bars,2026-10-23 00:00:00,505.0
869074977,failed,no bars,2027-03-19 00:00:00,240.0
851615305,failed,no bars,2027-03-19 00:00:00,285.0
848877295,failed,no bars,2027-03-19 00:00:00,315.0
848877733,failed,no bars,2027-03-19 00:00:00,360.0
848878035,failed,no bars,2027-03-19 00:00:00,390.0
848878710,failed,no bars,2027-03-19 00:00:00,465.0
848879038,failed,no bars,2027-03-19 00:00:00,510.0
800378089,failed,no bars,2027-06-17 00:00:00,235.0
897587468,failed,no bars,2027-06-30 00:00:00,285.0
897587729,failed,no bars,2027-06-30 00:00:00,315.0
897588950,failed,no bars,2027-06-30 00:00:00,357.0
897590644,failed,no bars,2027-06-30 00:00:00,392.0
897591957,failed,no bars,2027-06-30 00:00:00,435.0
897592243,failed,no bars,2027-06-30 00:00:00,465.0
909953559,failed,no bars,2027-06-30 00:00:00,510.0
887868798,failed,no bars,2027-09-17 00:00:00,235.0
887869341,failed,no bars,2027-09-17 00:00:00,290.0
887869560,failed,no bars,2027-09-17 00:00:00,310.0
887870182,failed,no bars,2027-09-17 00:00:00,365.0
887870377,failed,no bars,2027-09-17 00:00:00,385.0
887870960,failed,no bars,2027-09-17 00:00:00,440.0
887871178,failed,no bars,2027-09-17 00:00:00,460.0
887871747,failed,no bars,2027-09-17 00:00:00,515.0
816975953,failed,no bars,2028-01-21 00:00:00,235.0
814294927,failed,no bars,2028-01-21 00:00:00,290.0
814295147,failed,no bars,2028-01-21 00:00:00,310.0
814295739,failed,no bars,2028-01-21 00:00:00,365.0
814295994,failed,no bars,2028-01-21 00:00:00,385.0
816976556,failed,no bars,2028-01-21 00:00:00,440.0
816976778,failed,no bars,2028-01-21 00:00:00,460.0
817346046,failed,no bars,2028-01-21 00:00:00,515.0
852303133,failed,no bars,2028-06-16 00:00:00,235.0
852303850,failed,no bars,2028-06-16 00:00:00,290.0
851891433,failed,no bars,2028-06-16 00:00:00,310.0
852304389,failed,no bars,2028-06-16 00:00:00,365.0
852304531,failed,no bars,2028-06-16 00:00:00,385.0
851891989,failed,no bars,2028-06-16 00:00:00,440.0
851892072,failed,no bars,2028-06-16 00:00:00,460.0
852305559,failed,no bars,2028-06-16 00:00:00,515.0
920627435,failed,no bars,2026-10-23 00:00:00,240.0
920628004,failed,no bars,2026-10-23 00:00:00,285.0
920628423,failed,no bars,2026-10-23 00:00:00,315.0
838422879,failed,no bars,2026-11-20 00:00:00,460.0
920632752,failed,no bars,2026-10-23 00:00:00,510.0
910573221,failed,no bars,2027-02-19 00:00:00,250.0
910573498,failed,no bars,2027-02-19 00:00:00,275.0
910574009,failed,no bars,2027-02-19 00:00:00,325.0
910574256,failed,no bars,2027-02-19 00:00:00,350.0
910574851,failed,no bars,2027-02-19 00:00:00,400.0
910575787,failed,no bars,2027-02-19 00:00:00,475.0
910576067,failed,no bars,2027-02-19 00:00:00,500.0
800378266,failed,no bars,2027-06-17 00:00:00,255.0
800378413,failed,no bars,2027-06-17 00:00:00,275.0
800378868,failed,no bars,2027-06-17 00:00:00,325.0
897588870,failed,no bars,2027-06-30 00:00:00,354.0
800379434,failed,no bars,2027-06-17 00:00:00,390.0
800379840,failed,no bars,2027-06-17 00:00:00,425.0
813159478,failed,no bars,2027-06-17 00:00:00,475.0
806090530,failed,no bars,2027-06-17 00:00:00,500.0
887868982,failed,no bars,2027-09-17 00:00:00,255.0
887869126,failed,no bars,2027-09-17 00:00:00,270.0
887869790,failed,no bars,2027-09-17 00:00:00,330.0
887869959,failed,no bars,2027-09-17 00:00:00,345.0
887870585,failed,no bars,2027-09-17 00:00:00,405.0
887870740,failed,no bars,2027-09-17 00:00:00,420.0
887871375,failed,no bars,2027-09-17 00:00:00,480.0
887871535,failed,no bars,2027-09-17 00:00:00,495.0
816976158,failed,no bars,2028-01-21 00:00:00,255.0
814294667,failed,no bars,2028-01-21 00:00:00,270.0
814295359,failed,no bars,2028-01-21 00:00:00,330.0
814295533,failed,no bars,2028-01-21 00:00:00,345.0
814296206,failed,no bars,2028-01-21 00:00:00,405.0
816976318,failed,no bars,2028-01-21 00:00:00,420.0
816976991,failed,no bars,2028-01-21 00:00:00,480.0
816977163,failed,no bars,2028-01-21 00:00:00,495.0
852303390,failed,no bars,2028-06-16 00:00:00,255.0
852303595,failed,no bars,2028-06-16 00:00:00,270.0
851891539,failed,no bars,2028-06-16 00:00:00,330.0
852304254,failed,no bars,2028-06-16 00:00:00,345.0
852304666,failed,no bars,2028-06-16 00:00:00,405.0
851891902,failed,no bars,2028-06-16 00:00:00,420.0
851892142,failed,no bars,2028-06-16 00:00:00,480.0
852305334,failed,no bars,2028-06-16 00:00:00,495.0
869072742,failed,no bars,2026-11-20 00:00:00,235.0
838421169,failed,no bars,2026-11-20 00:00:00,290.0
838421339,failed,no bars,2026-11-20 00:00:00,310.0
920632161,failed,no bars,2026-10-23 00:00:00,465.0
920632626,failed,no bars,2026-10-23 00:00:00,500.0
868230617,failed,no bars,2027-03-19 00:00:00,250.0
851615234,failed,no bars,2027-03-19 00:00:00,275.0
848877380,failed,no bars,2027-03-19 00:00:00,325.0
848877633,failed,no bars,2027-03-19 00:00:00,350.0
848878142,failed,no bars,2027-03-19 00:00:00,400.0
848878797,failed,no bars,2027-03-19 00:00:00,475.0
848878968,failed,no bars,2027-03-19 00:00:00,500.0
800378059,failed,no bars,2027-06-17 00:00:00,230.0
897587385,failed,no bars,2027-06-30 00:00:00,275.0
897587853,failed,no bars,2027-06-30 00:00:00,325.0
897588992,failed,no bars,2027-06-30 00:00:00,358.0
897590829,failed,no bars,2027-06-30 00:00:00,395.0
897591871,failed,no bars,2027-06-30 00:00:00,425.0
897592300,failed,no bars,2027-06-30 00:00:00,475.0
909953460,failed,no bars,2027-06-30 00:00:00,500.0
887868758,failed,no bars,2027-09-17 00:00:00,230.0
887869395,failed,no bars,2027-09-17 00:00:00,295.0
887869505,failed,no bars,2027-09-17 00:00:00,305.0
887870217,failed,no bars,2027-09-17 00:00:00,370.0
887870334,failed,no bars,2027-09-17 00:00:00,380.0
887871012,failed,no bars,2027-09-17 00:00:00,445.0
887871118,failed,no bars,2027-09-17 00:00:00,455.0
887871802,failed,no bars,2027-09-17 00:00:00,520.0
816975903,failed,no bars,2028-01-21 00:00:00,230.0
814294972,failed,no bars,2028-01-21 00:00:00,295.0
814295089,failed,no bars,2028-01-21 00:00:00,305.0
