n,mean,std,skewness,excess_kurtosis,shapiro_stat,shapiro_pvalue,jarque_bera_stat,jarque_bera_pvalue,dagostino_k2_stat,dagostino_k2_pvalue,model,residual,decision_5pct_shapiro,decision_5pct_jarque_bera,decision_5pct_dagostino
64,0.10289114839397,1.184061887978619,1.3033127785418688,1.7403540482023017,0.8968562030123182,6.103755839266509e-05,23.394625231735496,8.31613781473185e-06,18.80742426769945,8.241755201431869e-05,Black-Scholes,market minus model implied volatility (pp),reject,reject,reject
64,0.0730906080100959,0.9490015765092652,0.8319339059445123,0.8882178591751662,0.950982658958476,0.012794822274906,8.451690031262146,0.0146129812933049,8.987118989173355,0.0111807749872133,Heston,market minus model implied volatility (pp),reject,reject,reject
64,0.0719592992632501,0.7840826081107848,0.9817664294004292,1.9900556709814852,0.9500826242335312,0.0115508611247574,17.927859431818035,0.0001279424869261,14.649417374401242,0.0006590516256181,Bates,market minus model implied volatility (pp),reject,reject,reject
64,0.04985678635028059,0.6129402020222466,0.0662623522303739,4.778317533292156,0.9222993321593362,0.0006209311885134035,49.829039032550156,1.5127308186620803e-11,13.225373443137851,0.0013432184431115437,Full Bates-Hawkes,market minus model implied volatility (pp),reject,reject,reject
