model,simulation_method,terminal_mean,terminal_std,p05,p50,p95,logret_skew,logret_excess_kurtosis,return_mean_pct,return_std_pct,return_p00_pct,return_p05_pct,return_p25_pct,return_p50_pct,return_p75_pct,return_p95_pct,return_p100_pct,return_skewness,return_excess_kurtosis,mean_jump_count,calibration_status,missing_work
Black-Scholes,exact GBM log step; scrambled Sobol normals; LSE forward-rate curve,502.93839135512064,292.9547684216761,171.60443532313315,437.7993685574943,1050.7821472015228,-0.02743243562441847,-0.052470391799610994,24.25288221832662,72.37561292133215,-82.23307105706277,-57.60445800747753,-25.75055825322093,8.160033737059148,53.52004981300431,159.59980907713586,533.7426284885548,1.7833022849092082,5.160564768931733,0.0,calibrated,
Heston,full-truncation Euler; correlated scrambled Sobol normals; LSE forward-rate curve,503.9987388146941,272.6178435450455,195.52755178910306,434.36619406480446,1018.8717197052767,0.047758446253051506,-0.006475662266605564,24.5148451749621,67.35129667343072,-80.02741040100403,-51.69415920421399,-21.730762982600098,7.311854649505767,54.26503217557147,151.7162140734928,550.8710743516572,1.7980336905424907,5.914386937976836,0.0,calibrated,
Bates,full-truncation Euler; inverse-Poisson lognormal jumps; scrambled Sobol draws,501.4384394310312,298.42410829277094,187.21407160594165,433.23673339215304,1049.7626129565217,0.06957706718543198,0.2772772356417055,23.882313271989332,73.72683457093434,-88.82607366513645,-53.7480367601498,-25.570904466948775,7.032817005250647,52.04117399950056,159.3479291836158,871.6465158469457,2.594106974874314,14.893799735232989,6.014404296875,calibrated,
Full Bates-Hawkes,full-truncation Euler; event-driven exponential Hawkes jumps; Sobol diffusion,500.71462646429603,306.30394905941785,172.73651076183248,432.4000430455901,1065.299293855216,-0.018305916981739008,0.39135047586601557,23.703492468388475,75.67357982543614,-92.1803585999135,-57.324774375118594,-25.638537412241483,6.826109406722369,50.47540989091522,163.1863265200524,966.5126833386025,2.4173376076416786,12.15207769207649,9.759765625,Feller-constrained affine calibration,
