model,parameter,minimum,median,maximum,last
Black-Scholes,sigma,0.2072002313045308,0.2545738609121774,0.336487319321772,0.2072002313045308
Heston,v0,0.0248559265873407,0.07326381666600465,0.1979981355612659,0.0248559265873407
Heston,kappa,3.3245275105589496,3.4390145240123076,3.439946766927691,3.439946766927691
Heston,theta,0.0430892819582504,0.059560129474938744,0.0826510538537824,0.0678097829478229
Heston,xi,0.01,0.011355951375033601,0.694637651404248,0.0123751165026941
Heston,rho,-0.1290984431147116,-0.01531703796069935,0.3864197903508385,-0.0159649097264991
Bates,v0,0.0139426553776014,0.07620257213285694,0.2325347604152071,0.0139426553776014
Bates,kappa,6.953165613409799,6.96129826850645,6.987095808592433,6.987095808592433
Bates,theta,0.0320683424480729,0.057571287967593046,0.082923414714249,0.0442214780157511
Bates,sigma,0.1170809433442525,0.3693805966467647,0.6663711174316144,0.1204054715270373
Bates,rho,-0.9899999999999998,0.05088722639788635,0.165411469487178,-0.4830264012696064
Bates,lambd,0.0,0.07113216442958195,0.3784796974701292,0.3003149474203707
Bates,mu_J,-0.218137291977292,0.09349046081101225,0.2639129914541652,0.2203814727844146
Bates,sigma_J,0.0001,0.16293711271078543,0.4148315840372764,0.0025193564067149
Full Bates-Hawkes,v0,0.0193604313818352,0.0779646744974138,0.2274332330000197,0.0193604313818352
Full Bates-Hawkes,kappa,6.953448095528185,6.967179127089513,6.973982853376956,6.973982853376956
Full Bates-Hawkes,theta,0.0309953029335254,0.05913720067643905,0.0859560576232883,0.0610019279441074
Full Bates-Hawkes,xi,0.2686697465363474,0.3673405860717647,0.4376768563629634,0.2686697465363474
Full Bates-Hawkes,rho,-0.0930997121818844,-0.0747882783423266,0.2898469381877855,0.1292096320660719
Full Bates-Hawkes,lambda0,0.001,0.43640357033325755,0.5569675867225043,0.431919590009619
Full Bates-Hawkes,lambda_bar,0.001,0.16186736081408964,0.2186300011069504,0.158201059026187
Full Bates-Hawkes,branching_ratio,0.0200833587967781,0.02031720740825675,0.0285696198310239,0.0204740260787364
Full Bates-Hawkes,beta,11.23569352038684,11.237432467338639,11.237476238260088,11.237476238260088
Full Bates-Hawkes,mu_J,-0.1120693029774888,-0.03626547208877195,0.1773508525532771,0.1773508525532771
Full Bates-Hawkes,sigma_J,0.001,0.0016969936541413,0.4411235437947512,0.0017750340471797
