model,spot0,rate,years,n_steps,n_paths,terminal_mean,terminal_median,terminal_std,return_mean_pct,return_median_pct,return_std_pct,return_skewness,return_excess_kurtosis,return_p00,return_p50,return_p100,terminal_p01,terminal_p05,terminal_p50,terminal_p95,terminal_p99,mean_jumps
Black-Scholes,402.78,0.0407699771940015,5.0,260,4096,490.54942896049874,423.83943871388374,289.85160652407626,21.790910412756038,5.228521454363111,71.96276044591991,1.743273638136486,5.7082930361225515,-86.48429491345324,5.228521454363111,710.7990312420776,109.44321717273625,160.07115669514042,423.83943871388374,1036.4824055707377,1457.1153583112352,0.0
Heston,402.78,0.0407699771940015,5.0,260,4096,495.2558966481184,421.2221594977279,308.31355536892085,22.959406288325745,4.57871778582053,76.54639142184837,2.1330905032540004,9.292751787115707,-88.2144460607584,4.57871778582053,820.9230120997978,99.64060246382815,164.06759310873795,421.2221594977279,1087.3524533816428,1590.9249063363386,0.0
Bates,402.78,0.0407699771940015,5.0,260,4096,496.9118968881887,421.4989031404499,310.03908800059025,23.370548907142535,4.647426173208668,76.97479715988636,2.0686674235586824,7.778515001338942,-88.98263788787912,4.647426173208668,789.8520581686256,107.37986552746594,161.05321822185113,421.4989031404499,1098.1066891899006,1636.9206223584836,1.259033203125
Bates-Hawkes,402.78,0.0407699771940015,5.0,260,4096,494.82950374625466,425.02135120150405,300.87387660819815,22.85354380710429,5.521960177144869,74.69930895481357,1.900956268717742,6.47713325461654,-91.77615900737189,5.521960177144869,747.836063100789,107.22122813604803,164.79918621953817,425.02135120150405,1063.2131076108667,1585.0912036832235,5.205810546875
