timestamp,symbol,open,high,low,close,volume,log_return,simple_return
2026-01-02,GLD,401.62,401.82,396.25,398.28,8049491.0,,
2026-01-05,GLD,406.39,409.72,406.15,408.76,10003009.0,0.025972911224124928,0.026313146530079434
2026-01-06,GLD,410.67,413.48,410.31,413.18,7732103.0,0.01075514661947441,0.010813191114590559
2026-01-07,GLD,408.63,410.81,406.65,409.23,6703022.0,-0.009605988190344306,-0.009559998063797814
2026-01-08,GLD,406.97,411.64,406.4,411.49,5902641.0,0.005507373312130248,0.00552256677174201
2026-01-09,GLD,413.2,415.29,411.8,414.47,9219899.0,0.00721587711372873,0.007241974288561215
2026-01-12,GLD,421.68,425.74,421.52,422.23,15704547.0,0.018549593662226194,0.01872270610659399
2026-01-13,GLD,424.6,426.12,420.07,421.63,13241066.0,-0.0014220370703901253,-0.001421026454775931
2026-01-14,GLD,426.03,426.86,422.83,425.94,13782097.0,0.010170339088515945,0.010222232763323236
2026-01-15,GLD,423.02,425.06,422.79,423.33,9197617.0,-0.00614647454157069,-0.006127623608959021
2026-01-16,GLD,422.8,424.8,417.04,421.29,14634336.0,-0.00483058408958037,-0.0048189355821698365
2026-01-20,GLD,436.69,438.14,434.1,437.23,15449421.0,0.037137939781288765,0.037836169859241764
2026-01-21,GLD,446.87,448.0,437.11,443.6,28985896.0,0.014463883046724746,0.014568991148823374
2026-01-22,GLD,443.84,452.99,443.56,451.79,12337391.0,0.01829421462526426,0.018462578899909765
2026-01-23,GLD,454.11,458.75,453.45,458.0,16508383.0,0.013651714012708815,0.013745324155027827
2026-01-26,GLD,466.78,469.28,460.36,464.7,25981787.0,0.014522851976747297,0.014628820960698619
2026-01-27,GLD,465.02,476.49,463.95,476.1,18203493.0,0.02423588010954081,0.02453195610071024
2026-01-28,GLD,483.4,495.88,481.25,494.56,29950411.0,0.038040562183332405,0.038773366939718557
2026-01-29,GLD,509.51,509.7,468.51,495.9,58811931.0,0.002705815111282206,0.002709479132966708
2026-01-30,GLD,466.25,470.06,430.8,444.95,58493625.0,-0.10841237719221652,-0.10274248840492028
2026-02-02,GLD,434.02,440.78,422.55,427.13,31187496.0,-0.04087349976092547,-0.04004944375772557
2026-02-03,GLD,452.63,459.0,448.31,454.29,21006157.0,0.06164734409472761,0.0635871982768712
2026-02-04,GLD,462.47,463.1,445.71,453.97,18649931.0,-0.0007046440738127657,-0.000704395870479213
2026-02-05,GLD,444.29,450.9,440.35,441.88,12581412.0,-0.026992764558786853,-0.026631715752142293
2026-02-06,GLD,450.74,456.93,450.03,455.46,7962110.0,0.030269545252657792,0.030732325518240122
2026-02-09,GLD,461.39,467.56,460.85,467.03,8881329.0,0.0250855981775695,0.025402889386554328
