model,price_mae,price_rmse,iv_mae_bp,iv_rmse_bp,max_abs_price_error,max_abs_iv_error_bp,n,mean,std,skewness,excess_kurtosis,shapiro_stat,shapiro_pvalue,jarque_bera_stat,jarque_bera_pvalue,dagostino_k2_stat,dagostino_k2_pvalue,residual,decision_5pct_shapiro,decision_5pct_jarque_bera,decision_5pct_dagostino,simulation_method,terminal_mean,terminal_std,p05,p50,p95,logret_skew,logret_excess_kurtosis,return_mean_pct,return_std_pct,return_p00_pct,return_p05_pct,return_p25_pct,return_p50_pct,return_p75_pct,return_p95_pct,return_p100_pct,return_skewness,return_excess_kurtosis,mean_jump_count,calibration_status,missing_work
Black-Scholes,0.6374685567920617,0.815610097470657,87.77807126505651,117.9272170902997,2.3709361733379453,387.8672398393968,64,0.10289114839397,1.184061887978619,1.3033127785418688,1.7403540482023017,0.8968562030123182,6.103755839266509e-05,23.394625231735496,8.31613781473185e-06,18.80742426769945,8.241755201431869e-05,market minus model implied volatility (pp),reject,reject,reject,exact GBM log step; scrambled Sobol normals; LSE forward-rate curve,502.93839135512064,292.9547684216761,171.60443532313315,437.7993685574943,1050.7821472015228,-0.02743243562441847,-0.052470391799610994,24.25288221832662,72.37561292133215,-82.23307105706277,-57.60445800747753,-25.75055825322093,8.160033737059148,53.52004981300431,159.59980907713586,533.7426284885548,1.7833022849092082,5.160564768931733,0.0,calibrated,
Heston,0.5104959601243799,0.631723704429221,73.35356881959888,94.43909634351468,1.4840947802399107,300.0041490243743,64,0.0730906080100959,0.9490015765092652,0.8319339059445123,0.8882178591751662,0.950982658958476,0.012794822274906,8.451690031262146,0.0146129812933049,8.987118989173355,0.0111807749872133,market minus model implied volatility (pp),reject,reject,reject,full-truncation Euler; correlated scrambled Sobol normals; LSE forward-rate curve,503.9987388146941,272.6178435450455,195.52755178910306,434.36619406480446,1018.8717197052767,0.047758446253051506,-0.006475662266605564,24.5148451749621,67.35129667343072,-80.02741040100403,-51.69415920421399,-21.730762982600098,7.311854649505767,54.26503217557147,151.7162140734928,550.8710743516572,1.7980336905424907,5.914386937976836,0.0,calibrated,
Bates,0.4328961191641713,0.5363910152076495,60.77552007508346,78.12538979659097,1.3520518291977623,302.8687934037291,64,0.0719592992632501,0.7840826081107848,0.9817664294004292,1.9900556709814847,0.9500826242335312,0.0115508611247574,17.927859431818035,0.0001279424869261,14.649417374401242,0.0006590516256181,market minus model implied volatility (pp),reject,reject,reject,full-truncation Euler; inverse-Poisson lognormal jumps; scrambled Sobol draws,501.4384394310312,298.42410829277094,187.21407160594165,433.23673339215304,1049.7626129565217,0.06957706718543198,0.2772772356417055,23.882313271989332,73.72683457093434,-88.82607366513645,-53.7480367601498,-25.570904466948775,7.032817005250647,52.04117399950056,159.3479291836158,871.6465158469457,2.594106974874314,14.893799735232989,6.014404296875,calibrated,
Full Bates-Hawkes,0.2943775737610568,0.4075746353163197,42.25549627827424,61.01730453112376,1.2634569325017535,231.41333385091167,64,0.0498567863502805,0.6129402020222466,0.0662623522303739,4.778317533292156,0.9222993321593362,0.0006209311885134,49.82903903255016,1.5127308186620803e-11,13.225373443137851,0.0013432184431115,market minus model implied volatility (pp),reject,reject,reject,full-truncation Euler; event-driven exponential Hawkes jumps; Sobol diffusion,500.71462646429603,306.30394905941785,172.73651076183248,432.4000430455901,1065.299293855216,-0.018305916981739008,0.39135047586601557,23.703492468388475,75.67357982543614,-92.1803585999135,-57.324774375118594,-25.638537412241483,6.826109406722369,50.47540989091522,163.1863265200524,966.5126833386025,2.4173376076416786,12.15207769207649,9.759765625,Feller-constrained affine calibration,
