date,Black-Scholes vs Prevailing mean,Black-Scholes vs Random walk,Black-Scholes vs Heston,Black-Scholes vs Bates,Black-Scholes vs Full Bates-Hawkes,Heston vs Prevailing mean,Heston vs Random walk,Heston vs Black-Scholes,Heston vs Bates,Heston vs Full Bates-Hawkes,Bates vs Prevailing mean,Bates vs Random walk,Bates vs Black-Scholes,Bates vs Heston,Bates vs Full Bates-Hawkes,Full Bates-Hawkes vs Prevailing mean,Full Bates-Hawkes vs Random walk,Full Bates-Hawkes vs Black-Scholes,Full Bates-Hawkes vs Heston,Full Bates-Hawkes vs Bates
2026-03-03 00:00:00+00:00,70.6007457562497,-0.5297353995174681,0.12305537427726065,-0.028755007928318754,1.0701613288269236,70.47769038197242,-0.6527907737947287,-0.12305537427726065,-0.1518103822055794,0.947105954549663,70.629500764178,-0.5009803915891493,0.028755007928318754,0.1518103822055794,1.0989163367552424,69.53058442742277,-1.5998967283443917,-1.0701613288269236,-0.947105954549663,-1.0989163367552424
2026-03-04 00:00:00+00:00,127.2886164067215,-2.3425912968837643,3.000768348701188,3.4737724018635348,4.0881604012799935,124.28784805802032,-5.343359645584952,-3.000768348701188,0.47300405316234695,1.0873920525788057,123.81484400485797,-5.816363698747299,-3.4737724018635348,-0.47300405316234695,0.6143879994164587,123.20045600544151,-6.430751698163759,-4.0881604012799935,-1.0873920525788057,-0.6143879994164587
2026-03-05 00:00:00+00:00,175.809685644012,-3.8662307831091196,2.7395672078512576,4.274614517748911,4.457911507980031,173.07011843616075,-6.605797990960378,-2.7395672078512576,1.5350473098976534,1.7183443001287726,171.5350711262631,-8.14084530085803,-4.274614517748911,-1.5350473098976534,0.18329699023111923,171.35177413603196,-8.324142291089151,-4.457911507980031,-1.7183443001287726,-0.18329699023111923
2026-03-06 00:00:00+00:00,230.96533541091105,-4.076144786896989,2.509533022539644,4.368971631115648,4.369274989806304,228.4558023883714,-6.585677809436634,-2.509533022539644,1.8594386085760037,1.85974196726666,226.5963637797954,-8.445116418012637,-4.368971631115648,-1.8594386085760037,0.00030335869065628573,226.59606042110474,-8.445419776703295,-4.369274989806304,-1.85974196726666,-0.00030335869065628573
2026-03-09 00:00:00+00:00,265.80330251497605,-5.6981289179736,2.208339117639594,5.279066020375723,4.767668887323179,263.59496339733647,-7.9064680356131944,-2.208339117639594,3.070726902736128,2.5593297696835844,260.5242364946003,-10.977194938349323,-5.279066020375723,-3.070726902736128,-0.5113971330525435,261.0356336276528,-10.46579780529678,-4.767668887323179,-2.5593297696835844,0.5113971330525435
2026-03-10 00:00:00+00:00,301.8306915791651,-5.77575630732081,2.918681031983491,5.248085742129843,4.936686077038561,298.9120105471816,-8.6944373393043,-2.918681031983491,2.3294047101463513,2.01800504505507,296.5826058370352,-11.023842049450652,-5.248085742129843,-2.3294047101463513,-0.31139966509128136,296.89400550212645,-10.712442384359372,-4.936686077038561,-2.01800504505507,0.31139966509128136
2026-03-11 00:00:00+00:00,329.0929033149105,-6.91745588538153,2.6332122226906476,4.970356168926343,4.909710501861771,326.4596910922198,-9.550668108072177,-2.6332122226906476,2.337143946235695,2.2764982791711237,324.1225471459841,-11.887812054307872,-4.970356168926343,-2.337143946235695,-0.06064566706457142,324.1831928130486,-11.827166387243302,-4.909710501861771,-2.2764982791711237,0.06064566706457142
2026-03-12 00:00:00+00:00,367.9792366497016,-6.158110313726613,2.961842282663427,5.506718399985335,5.212717452685231,365.01739436703815,-9.11995259639004,-2.961842282663427,2.5448761173219077,2.2508751700218044,362.4725182497162,-11.664828713711948,-5.506718399985335,-2.5448761173219077,-0.29400094730010345,362.76651919701624,-11.370827766411846,-5.212717452685231,-2.2508751700218044,0.29400094730010345
2026-03-13 00:00:00+00:00,412.4061565847038,-5.886316440806954,2.9777607980724725,5.655948590230469,5.23642189498092,409.4283957866313,-8.864077238879425,-2.9777607980724725,2.678187792157997,2.2586610969084475,406.75020799447327,-11.542265031037424,-5.655948590230469,-2.678187792157997,-0.4195266952495492,407.16973468972276,-11.122738335787876,-5.23642189498092,-2.2586610969084475,0.4195266952495492
2026-03-16 00:00:00+00:00,439.48282885776047,-6.441890310729278,2.4536715805160747,5.149146335894086,4.9929461186749435,437.02915727724434,-8.89556189124535,-2.4536715805160747,2.6954747553780116,2.5392745381588693,434.3336825218663,-11.591036646623364,-5.149146335894086,-2.6954747553780116,-0.156200217219142,434.4898827390854,-11.434836429404223,-4.9929461186749435,-2.5392745381588693,0.156200217219142
