model,price_mae,price_rmse,iv_mae_bp,iv_rmse_bp,max_abs_price_error,max_abs_iv_error_bp
Black-Scholes,0.7131334672140324,0.9238926252997847,96.44928332255226,128.66574203535743,3.0261161806566292,443.0153667097908
Heston,0.4430832174374426,0.5812413925667146,63.60384093578602,82.18848811909582,1.8115154897862666,233.96044729370513
Bates,0.44551830808137716,0.6113800962380208,59.58837492961918,81.73057213618237,2.087524825332281,254.89051648322547
