model,terminal_mean,terminal_std,p05,p50,p95,logret_skew,logret_excess_kurtosis,mean_jump_count,calibration_status,missing_work
GBM / BS,529.5558432230233,398.6933959463194,147.8082782303219,422.28635179591487,1254.2607729146096,0.059882269670307714,-0.04379208182146188,0.0,calibrated,
Heston,526.1931998700353,392.2844791157565,125.91173189866159,428.1966309915954,1253.7841666440959,-0.28959388476502296,0.3622858199099368,0.0,calibrated,
Bates,542.0481185844443,425.48565664960546,138.48270738774266,437.8260606629201,1265.570838232756,-0.11969903216905958,0.4400336520455568,4.47900390625,calibrated,
Exact Bates-Hawkes,530.9286024092526,397.24838361122386,140.85562943354472,424.3471580119955,1291.2797538807881,-0.03038178475961543,-0.017514713965465667,17.83544921875,exact constant-vol calibrated,
