K,iv_exact,iv_proxy
80.0,0.29323319352148103,0.29132722411332657
83.75,0.2844025136067533,0.28357003032052897
87.5,0.27569876110712066,0.2758352623268031
91.25,0.2671228580134921,0.26811698772599923
95.0,0.2586979286029004,0.2604289991295897
98.75,0.2504792364516296,0.25281488156234844
102.5,0.2425656767259352,0.245359663074743
106.25,0.23511070969039577,0.23820106489462778
110.0,0.22832659814087677,0.23153533138995985
113.75,0.2224708476190455,0.22560795428147545
117.5,0.21780358994370325,0.2206780595797114
121.25,0.21451886229244996,0.21695595434224235
125.0,0.21267842874312776,0.2145372555454262
