model,origins,optimizer_successes,accepted_updates,fallbacks,median_calibration_seconds,total_calibration_seconds,first_target,last_target
Black-Scholes,125,125,125,0,0.0255838999873958,3.2554682000190893,2026-03-03,2026-08-28
Heston,125,60,125,0,0.0419855999643914,7.822596499987408,2026-03-03,2026-08-28
Bates,125,122,125,0,0.078279500012286,13.301356000243683,2026-03-03,2026-08-28
Full Bates-Hawkes,125,112,125,0,5.92931849998422,1065.5753048997722,2026-03-03,2026-08-28
