time,poisson_intensity,hawkes_intensity,poisson_cumulative_jumps,hawkes_cumulative_jumps
0.9348914858096827,1.4208333333333332,1.1364733112756942,3,1
0.9515859766277128,1.4208333333333332,1.1214921236321613,3,1
0.9682804674457428,1.4208333333333332,1.106893623450949,3,1
0.9849749582637729,1.4208333333333332,1.0926680351590314,3,1
1.001669449081803,1.4208333333333332,1.0788058328958443,3,1
1.018363939899833,1.4208333333333332,1.0652977341344956,3,1
1.035058430717863,1.4208333333333332,1.05213469346592,3,1
1.0517529215358932,1.4208333333333332,1.0393078965418148,3,1
1.0684474123539232,1.4208333333333332,1.0268087541723008,3,1
1.0851419031719531,1.4208333333333332,1.014628896574354,3,1
1.1018363939899833,1.4208333333333332,1.0027601677671603,3,1
1.1185308848080133,1.4208333333333332,0.9911946201106383,3,1
1.1352253756260433,1.4208333333333332,0.9799245089834714,3,1
1.1519198664440733,1.4208333333333332,0.9689422875970879,3,1
1.1686143572621035,1.4208333333333332,0.958240601942116,3,1
1.1853088480801335,1.4208333333333332,0.9478122858639295,3,1
1.2020033388981635,1.4208333333333332,0.9376503562639845,3,1
1.2186978297161937,1.4208333333333332,0.9277480084237378,3,1
1.2353923205342237,1.4208333333333332,0.9180986114480134,3,1
1.2520868113522536,1.4208333333333332,0.9086957038247638,3,1
1.2687813021702838,1.4208333333333332,0.899532989098259,3,1
1.2854757929883138,1.4208333333333332,0.890604331652798,3,1
1.3021702838063438,1.4208333333333332,0.8819037526041259,3,1
1.3188647746243738,1.4208333333333332,0.8734254257958021,3,1
1.335559265442404,1.4208333333333332,0.8651636738978394,3,1
1.352253756260434,1.4208333333333332,0.8571129646050013,3,1
1.368948247078464,1.4208333333333332,0.8492679069322127,3,1
1.3856427378964942,1.4208333333333332,0.8416232476046014,3,1
1.4023372287145242,1.4208333333333332,0.8341738675397561,3,1
1.4190317195325541,1.4208333333333332,0.8269147784198417,3,1
1.4357262103505843,1.4208333333333332,0.8198411193512796,3,1
1.4524207011686143,1.4208333333333332,0.8129481536097539,3,1
1.4691151919866443,1.4208333333333332,0.8062312654683661,3,1
1.4858096828046743,1.4208333333333332,0.7996859571068113,3,1
1.5025041736227045,1.4208333333333332,0.7933078455995106,3,1
1.5191986644407345,1.4208333333333332,0.7870926599806778,3,1
1.5358931552587645,1.4208333333333332,0.7810362383843586,3,1
1.5525876460767947,1.4208333333333332,0.7751345252575272,3,1
1.5692821368948247,1.4208333333333332,0.7693835686443709,3,1
1.5859766277128546,1.4208333333333332,0.7637795175399478,3,1
1.6026711185308846,1.4208333333333332,0.7583186193114446,3,1
1.6193656093489148,1.4208333333333332,0.7529972171853052,3,1
1.6360601001669448,1.4208333333333332,0.7478117477985518,3,1
1.6527545909849748,1.4208333333333332,0.742758738812654,3,1
1.669449081803005,1.4208333333333332,0.7378348065883527,3,1
1.686143572621035,1.4208333333333332,0.7330366539198777,3,1
1.702838063439065,1.4208333333333332,0.7283610678270452,3,1
1.7195325542570952,1.4208333333333332,0.7238049174037537,3,1
1.7362270450751252,1.4208333333333332,0.7193651517214406,3,1
1.7529215358931551,1.4208333333333332,0.7150387977860924,3,1
1.7696160267111851,1.4208333333333332,0.7108229585474434,3,1
1.7863105175292153,1.4208333333333332,0.7067148109590278,3,1
1.8030050083472453,1.4208333333333332,0.7027116040877873,3,1
1.8196994991652753,1.4208333333333332,0.6988106572719679,3,1
1.8363939899833055,1.4208333333333332,0.6950093583260711,3,1
1.8530884808013355,1.4208333333333332,0.6913051617916616,3,1
1.8697829716193655,1.4208333333333332,0.6876955872328535,3,1
1.8864774624373957,1.4208333333333332,0.6841782175753414,3,1
1.9031719532554257,1.4208333333333332,0.6807506974878569,3,1
1.9198664440734556,1.4208333333333332,0.6774107318049726,3,1
1.9365609348914856,1.4208333333333332,0.6741560839901928,3,1
1.9532554257095158,1.4208333333333332,0.6709845746383052,3,1
1.9699499165275458,1.4208333333333332,0.667894080015989,3,1
1.9866444073455758,1.4208333333333332,0.6648825306397023,3,1
2.003338898163606,1.4208333333333332,0.6619479098898958,3,1
2.020033388981636,1.4208333333333332,0.6590882526606286,3,1
2.036727879799666,1.4208333333333332,0.6563016440436753,3,1
2.053422370617696,1.4208333333333332,0.6535862180462497,3,1
2.070116861435726,1.4208333333333332,0.6509401563414822,3,1
2.0868113522537564,1.4208333333333332,0.6483616870508166,3,1
2.1035058430717863,1.4208333333333332,0.6458490835575095,3,1
2.1202003338898163,1.4208333333333332,0.6434006633504377,3,1
2.1368948247078463,1.4208333333333332,0.6410147868974416,3,1
2.1535893155258763,1.4208333333333332,0.6386898565474469,3,1
