expiry,T,K,price,rate,implied_vol
2026-06-30,0.2425960938506151,358.0,87.52,0.03716266389449168,0.3718528577041812
2026-06-30,0.2425960938506151,375.0,72.74,0.03716266389449168,0.35418439202560115
2026-06-30,0.2425960938506151,395.0,56.57,0.03716266389449168,0.33658700812086473
2026-06-30,0.2425960938506151,425.0,35.85,0.03716266389449168,0.31688023939961574
2026-06-30,0.2425960938506151,455.0,20.77,0.03716266389449168,0.30736859003799033
2026-06-30,0.2425960938506151,490.0,10.31,0.03716266389449168,0.30852974911360076
2026-06-30,0.2425960938506151,495.0,9.28,0.03716266389449168,0.30900828102128575
2026-06-30,0.2425960938506151,520.0,5.68,0.03716266389449168,0.3172360720121302
2026-08-21,0.3850618472752727,375.0,77.96,0.03709087241132638,0.3355901450312697
2026-08-21,0.3850618472752727,395.0,62.66,0.03709087241132638,0.32263426359118896
2026-08-21,0.3850618472752727,425.0,43.14,0.03709087241132638,0.31037645033849404
2026-08-21,0.3850618472752727,455.0,28.4,0.03709087241132638,0.3057301656280643
2026-08-21,0.3850618472752727,490.0,16.66,0.03709087241132638,0.30499576727366073
2026-08-21,0.3850618472752727,495.0,15.38,0.03709087241132638,0.3050525768144987
2026-08-21,0.3850618472752727,520.0,10.58,0.03709087241132638,0.31041952314609655
2026-09-18,0.461774176042396,358.0,94.05,0.03706118071401597,0.33721685363752774
2026-12-31,0.7468198381428526,375.0,89.43,0.03699998994697397,0.31626430290741847
2026-12-31,0.7468198381428526,394.0,76.32,0.03699998994697397,0.3103731162703596
2026-12-31,0.7468198381428526,423.0,58.87,0.03699998994697397,0.30465343856839466
2026-12-31,0.7468198381428526,455.0,43.25,0.03699998994697397,0.30131141709825027
2026-12-31,0.7468198381428526,490.0,29.91,0.03699998994697397,0.29776877413159253
2026-12-31,0.7468198381428526,495.0,28.52,0.03699998994697397,0.29877471277816225
2026-12-31,0.7468198381428526,520.0,21.89,0.03699998994697397,0.2994869088464417
2027-01-15,0.7879157285538115,358.0,103.28,0.03699699421010473,0.32194417667863895
2027-03-31,0.9932810253574644,375.0,95.79,0.03700147276261334,0.3061991237311624
2027-06-17,1.206979655494451,375.0,101.78,0.037037042592066145,0.3062568832020275
2027-06-17,1.206979655494451,395.0,88.72,0.037037042592066145,0.3005859685747885
2027-06-17,1.206979655494451,425.0,71.55,0.037037042592066145,0.2955433860952966
2027-06-17,1.206979655494451,455.0,57.19,0.037037042592066145,0.29307797309244055
2027-06-17,1.206979655494451,490.0,43.82,0.037037042592066145,0.29288286491530025
2027-06-17,1.206979655494451,495.0,42.13,0.037037042592066145,0.29277475915299733
2027-06-17,1.206979655494451,520.0,35.02,0.037037042592066145,0.29509595042644077
2028-01-21,1.8043540847181951,375.0,116.37,0.037267840724883046,0.3037309820077382
2028-01-21,1.8043540847181951,395.0,104.16,0.037267840724883046,0.2994521339570172
2028-01-21,1.8043540847181951,400.0,101.29,0.037267840724883046,0.29868656485946843
2028-01-21,1.8043540847181951,425.0,87.78,0.037267840724883046,0.2951798143469728
2028-01-21,1.8043540847181951,455.0,73.45,0.037267840724883046,0.2918192971804179
2028-01-21,1.8043540847181951,490.0,60.18,0.037267840724883046,0.29296615142738447
2028-01-21,1.8043540847181951,495.0,58.36,0.037267840724883046,0.29263290293561284
2028-01-21,1.8043540847181951,520.0,50.64,0.037267840724883046,0.29403612653343014
2028-06-16,2.2069796554944507,375.0,123.89,0.03750375473254973,0.2957333162224852
2028-06-16,2.2069796554944507,395.0,112.25,0.03750375473254973,0.29319494486833
2028-06-16,2.2069796554944507,400.0,109.47,0.03750375473254973,0.29261524541275574
2028-06-16,2.2069796554944507,425.0,96.46,0.03750375473254973,0.29049212386300793
2028-06-16,2.2069796554944507,455.0,82.73,0.03750375473254973,0.28924699842343105
2028-06-16,2.2069796554944507,475.0,74.66,0.03750375473254973,0.28904906839532774
2028-06-16,2.2069796554944507,490.0,69.16,0.03750375473254973,0.28924925217898556
2028-06-16,2.2069796554944507,495.0,67.44,0.03750375473254973,0.289426088172663
2028-06-16,2.2069796554944507,520.0,59.35,0.03750375473254973,0.28994338095067074
2028-12-15,2.7057239477318937,375.0,133.97,0.03785510183770324,0.2947179527799598
2028-12-15,2.7057239477318937,395.0,122.54,0.03785510183770324,0.29153524016318855
2028-12-15,2.7057239477318937,400.0,119.94,0.03785510183770324,0.2914095606953837
2028-12-15,2.7057239477318937,405.0,117.33,0.03785510183770324,0.29105098073622215
2028-12-15,2.7057239477318937,410.0,114.73,0.03785510183770324,0.29055442809714016
2028-12-15,2.7057239477318937,415.0,112.2,0.03785510183770324,0.29017200675690547
2028-12-15,2.7057239477318937,420.0,109.77,0.03785510183770324,0.29002076299572366
2028-12-15,2.7057239477318937,425.0,107.34,0.03785510183770324,0.28969529089191925
2028-12-15,2.7057239477318937,450.0,95.81,0.03785510183770324,0.2880380541422405
2028-12-15,2.7057239477318937,455.0,93.67,0.03785510183770324,0.287867327502463
2028-12-15,2.7057239477318937,470.0,87.49,0.03785510183770324,0.2873452198830433
2028-12-15,2.7057239477318937,475.0,85.6,0.03785510183770324,0.28749974183412264
2028-12-15,2.7057239477318937,490.0,79.99,0.03785510183770324,0.2873340908008628
2028-12-15,2.7057239477318937,495.0,78.27,0.03785510183770324,0.287542460746225
2028-12-15,2.7057239477318937,520.0,70.09,0.03785510183770324,0.28813554303953426
