expiry_iso,expiry_ymd,T,right,K,conId,localSymbol,symbol,bid,ask,mid,last,close,model_price,price_used,price_source,has_any_quote,impliedVol,delta,gamma,vega,theta,undPrice_model,volume,openInterest
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,315.0,867923113,GLD   260406C00315000,GLD,-1.0,-1.0,,-1.0,122.99,,122.99,close,True,,,,,,,0.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,375.0,867923300,GLD   260406C00375000,GLD,-1.0,-1.0,,-1.0,63.18,,63.18,close,True,,,,,,,0.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,383.0,867923453,GLD   260406C00383000,GLD,-1.0,-1.0,,-1.0,55.23,,55.23,close,True,,,,,,,0.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,392.0,867923602,GLD   260406C00392000,GLD,-1.0,-1.0,,36.4,46.33,,46.33,close,True,,,,,,,3.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,393.0,867923620,GLD   260406C00393000,GLD,-1.0,-1.0,,-1.0,45.35,,45.35,close,True,,,,,,,3.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,394.0,867923642,GLD   260406C00394000,GLD,-1.0,-1.0,,-1.0,44.37,,44.37,close,True,,,,,,,8.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,395.0,867923655,GLD   260406C00395000,GLD,-1.0,-1.0,,-1.0,43.39,,43.39,close,True,,,,,,,0.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,396.0,867923670,GLD   260406C00396000,GLD,-1.0,-1.0,,-1.0,42.41,,42.41,close,True,,,,,,,0.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,397.0,867923685,GLD   260406C00397000,GLD,-1.0,-1.0,,-1.0,41.42,,41.42,close,True,,,,,,,0.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,398.0,867923700,GLD   260406C00398000,GLD,-1.0,-1.0,,32.4,40.44,,40.44,close,True,,,,,,,3.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,399.0,867923712,GLD   260406C00399000,GLD,-1.0,-1.0,,-1.0,39.46,,39.46,close,True,,,,,,,0.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,400.0,867923729,GLD   260406C00400000,GLD,-1.0,-1.0,,28.29,38.48,,38.48,close,True,,,,,,,159.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,401.0,867923746,GLD   260406C00401000,GLD,-1.0,-1.0,,-1.0,37.51,,37.51,close,True,,,,,,,0.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,402.0,867923769,GLD   260406C00402000,GLD,-1.0,-1.0,,-1.0,36.54,,36.54,close,True,,,,,,,0.0,
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,403.0,867923790,GLD   260406C00403000,GLD,-1.0,-1.0,,-1.0,35.58,,35.58,close,True,,,,,,,7.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,404.0,867923811,GLD   260406C00404000,GLD,-1.0,-1.0,,-1.0,34.61,,34.61,close,True,,,,,,,25.0,
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,405.0,867084740,GLD   260406C00405000,GLD,-1.0,-1.0,,24.7,33.64,,33.64,close,True,,,,,,,25.0,
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,406.0,867084855,GLD   260406C00406000,GLD,-1.0,-1.0,,20.85,32.67,,32.67,close,True,,,,,,,6.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,407.0,867084915,GLD   260406C00407000,GLD,-1.0,-1.0,,-1.0,31.71,,31.71,close,True,,,,,,,0.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,408.0,867084976,GLD   260406C00408000,GLD,-1.0,-1.0,,-1.0,30.75,,30.75,close,True,,,,,,,3.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,409.0,867085041,GLD   260406C00409000,GLD,-1.0,-1.0,,19.7,29.78,,29.78,close,True,,,,,,,79.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,410.0,867085101,GLD   260406C00410000,GLD,-1.0,-1.0,,20.5,28.83,,28.83,close,True,,,,,,,41.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,411.0,867085170,GLD   260406C00411000,GLD,-1.0,-1.0,,-1.0,27.89,,27.89,close,True,,,,,,,9.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,412.0,867085243,GLD   260406C00412000,GLD,-1.0,-1.0,,-1.0,26.94,,26.94,close,True,,,,,,,14.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,413.0,867085296,GLD   260406C00413000,GLD,-1.0,-1.0,,-1.0,26.0,,26.0,close,True,,,,,,,27.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,414.0,867085364,GLD   260406C00414000,GLD,-1.0,-1.0,,-1.0,25.05,,25.05,close,True,,,,,,,39.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,415.0,867085434,GLD   260406C00415000,GLD,-1.0,-1.0,,13.05,24.14,,24.14,close,True,,,,,,,99.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,416.0,867085497,GLD   260406C00416000,GLD,-1.0,-1.0,,14.0,23.22,,23.22,close,True,,,,,,,79.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,417.0,867085559,GLD   260406C00417000,GLD,-1.0,-1.0,,-1.0,22.3,,22.3,close,True,,,,,,,31.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,418.0,867085634,GLD   260406C00418000,GLD,-1.0,-1.0,,14.42,21.4,,21.4,close,True,,,,,,,55.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,419.0,867085717,GLD   260406C00419000,GLD,-1.0,-1.0,,12.52,20.5,,20.5,close,True,,,,,,,40.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,420.0,867085799,GLD   260406C00420000,GLD,-1.0,-1.0,,11.0,19.6,,19.6,close,True,,,,,,,226.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,421.0,867085881,GLD   260406C00421000,GLD,-1.0,-1.0,,11.57,18.72,,18.72,close,True,,,,,,,45.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,422.0,867085944,GLD   260406C00422000,GLD,-1.0,-1.0,,9.97,17.85,,17.85,close,True,,,,,,,114.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,423.0,867086028,GLD   260406C00423000,GLD,-1.0,-1.0,,8.5,16.99,,16.99,close,True,,,,,,,53.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,424.0,867086121,GLD   260406C00424000,GLD,-1.0,-1.0,,8.4,16.13,,16.13,close,True,,,,,,,528.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,425.0,867086201,GLD   260406C00425000,GLD,-1.0,-1.0,,7.81,15.28,,15.28,close,True,,,,,,,397.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,426.0,867086279,GLD   260406C00426000,GLD,-1.0,-1.0,,7.2,14.47,,14.47,close,True,,,,,,,179.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,427.0,867086366,GLD   260406C00427000,GLD,-1.0,-1.0,,6.8,13.66,,13.66,close,True,,,,,,,255.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,428.0,867086421,GLD   260406C00428000,GLD,-1.0,-1.0,,5.6,12.85,,12.85,close,True,,,,,,,523.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,429.0,867086496,GLD   260406C00429000,GLD,-1.0,-1.0,,5.2,12.1,,12.1,close,True,,,,,,,384.0,0.0
2026-04-06T16:00:00-04:00,20260406,0.009719381521848047,C,430.0,867086576,GLD   260406C00430000,GLD,-1.0,-1.0,,4.73,11.35,,11.35,close,True,,,,,,,1535.0,0.0
