expiry,T,K,price,rate,implied_vol,vega,model_price,model_iv,moneyness,iv_residual_pct
2026-06-30,0.2425960938506151,358.0,87.52,0.0371626638944916,0.3718528577041812,39.893144300234695,87.21396726429778,0.36407367582516736,0.8176876341875656,0.777918187901383
2026-06-30,0.2425960938506151,375.0,72.74,0.0371626638944916,0.3541843920256011,50.784942901468064,72.51222564319535,0.3496739566220901,0.8565163765931205,0.45104354035109817
2026-06-30,0.2425960938506151,395.0,56.57,0.0371626638944916,0.3365870081208647,64.5431649661799,56.48810396273484,0.335317068087589,0.9021972500114203,0.1269940033275685
2026-06-30,0.2425960938506151,425.0,35.85,0.0371626638944916,0.3168802393996157,81.57176523916802,36.10185821657412,0.3199669811445288,0.9707185601388699,-0.3086741744913135
2026-06-30,0.2425960938506151,455.0,20.77,0.0371626638944916,0.3073685900379903,85.42263513582442,21.147746625092207,0.3117896761407144,1.0392398702663195,-0.44210861027241255
2026-06-30,0.2425960938506151,490.0,10.31,0.0371626638944916,0.3085297491136007,71.61387663792611,10.34036168157048,0.30895357622737063,1.119181398748344,-0.042382711376992566
2026-06-30,0.2425960938506151,495.0,9.28,0.0371626638944916,0.3090082810212857,68.67966904941818,9.276732330007716,0.3089607007025741,1.130601617102919,0.0047580318711604175
2026-06-30,0.2425960938506151,520.0,5.68,0.0371626638944916,0.3172360720121302,53.999959915085746,5.29615894221516,0.3100382147140801,1.1877027088757937,0.7197857298050114
2026-08-21,0.3850618472752727,375.0,77.96,0.0370908724113263,0.3355901450312697,71.21823189752101,77.89725758238488,0.33470840507922694,0.8565163765931205,0.08817399520427704
2026-08-21,0.3850618472752727,395.0,62.66,0.0370908724113263,0.3226342635911889,85.68883010638504,62.87190891436767,0.32510414685299616,0.9021972500114203,-0.24698832618072486
2026-08-21,0.3850618472752727,425.0,43.14,0.0370908724113263,0.310376450338494,102.81791696429934,43.55659539166409,0.3144271102958359,0.9707185601388699,-0.405065995734194
2026-08-21,0.3850618472752727,455.0,28.4,0.0370908724113263,0.3057301656280643,108.32735789463825,28.673648908200246,0.3082562158309854,1.0392398702663195,-0.2526050202921071
2026-08-21,0.3850618472752727,490.0,16.66,0.0370908724113263,0.3049957672736607,99.03254229033188,16.740724557948088,0.30581061166310686,1.119181398748344,-0.08148443894461788
2026-08-21,0.3850618472752727,495.0,15.38,0.0370908724113263,0.3050525768144987,96.66773760040738,15.450901433483743,0.3057857458476907,1.130601617102919,-0.07331690331919827
2026-08-21,0.3850618472752727,520.0,10.58,0.0370908724113263,0.3104195231460965,83.48250617030062,10.258625646264424,0.30655383877893905,1.1877027088757937,0.38656843671574515
2026-09-18,0.461774176042396,358.0,94.05,0.0370611807140159,0.3372168536375277,67.13054051390692,94.08623872532178,0.33775629282342257,0.8176876341875656,-0.05394391858948855
2026-12-31,0.7468198381428526,375.0,89.43,0.0369999899469739,0.3162643029074184,109.21723897712567,89.54892206162673,0.3173523639361374,0.8565163765931205,-0.10880610287190007
2026-12-31,0.7468198381428526,394.0,76.32,0.0369999899469739,0.3103731162703596,123.7498592613459,76.53148447625348,0.31208101595481863,0.8999132063405052,-0.17078996844590577
2026-12-31,0.7468198381428526,423.0,58.87,0.0369999899469739,0.3046534385683946,141.09253877932036,59.0183103975483,0.3057045268303714,0.9661504727970399,-0.1051088261976807
2026-12-31,0.7468198381428526,455.0,43.25,0.0369999899469739,0.3013114170982502,150.3532724315319,43.2123214602783,0.3010608218318782,1.0392398702663195,0.025059526637200014
2026-12-31,0.7468198381428526,490.0,29.91,0.0369999899469739,0.2977687741315925,147.90923957584752,30.0453851418825,0.2986839758344927,1.119181398748344,-0.09152017029002146
2026-12-31,0.7468198381428526,495.0,28.52,0.0369999899469739,0.2987747127781622,146.6829241028056,28.48685868323931,0.2985487691272981,1.130601617102919,0.022594365086409107
