date,Black-Scholes vs Prevailing mean,Black-Scholes vs Heston,Black-Scholes vs Bates,Black-Scholes vs Full Bates-Hawkes,Heston vs Prevailing mean,Heston vs Black-Scholes,Heston vs Bates,Heston vs Full Bates-Hawkes,Bates vs Prevailing mean,Bates vs Black-Scholes,Bates vs Heston,Bates vs Full Bates-Hawkes,Full Bates-Hawkes vs Prevailing mean,Full Bates-Hawkes vs Black-Scholes,Full Bates-Hawkes vs Heston,Full Bates-Hawkes vs Bates
2026-02-13 00:00:00+00:00,27.598081001274977,-3.302276757779496,-3.1932672905107107,-4.302793140564894,30.900357759054472,3.302276757779496,0.10900946726878535,-1.0005163827853982,30.791348291785685,3.1932672905107107,-0.10900946726878535,-1.1095258500541836,31.90087414183987,4.302793140564894,1.0005163827853982,1.1095258500541836
2026-02-20 00:00:00+00:00,72.8916763934544,-10.514308564778176,-10.806097310900752,-13.141154158295329,83.40598495823258,10.514308564778176,-0.2917887461225743,-2.626845593517152,83.69777370435516,10.806097310900752,0.2917887461225743,-2.335056847394578,86.03283055174973,13.141154158295329,2.626845593517152,2.335056847394578
2026-02-27 00:00:00+00:00,112.9849424798914,-16.29396403414174,-17.6198129372366,-21.790425781118934,129.27890651403314,16.29396403414174,-1.3258489030948568,-5.496461746977191,130.604755417128,17.6198129372366,1.3258489030948568,-4.170612843882335,134.77536826101033,21.790425781118934,5.496461746977191,4.170612843882335
2026-03-06 00:00:00+00:00,157.92150989765213,-21.763499920572915,-23.71493617550236,-28.588669457103386,179.685009818225,21.763499920572915,-1.9514362549294426,-6.825169536530469,181.63644607315447,23.71493617550236,1.9514362549294426,-4.873733281601027,186.5101793547555,28.588669457103386,6.825169536530469,4.873733281601027
2026-03-13 00:00:00+00:00,190.42165118113473,-23.437114463406463,-25.314377850291386,-30.355212674909097,213.85876564454117,23.437114463406463,-1.8772633868849238,-6.918098211502631,215.7360290314261,25.314377850291386,1.8772633868849238,-5.040834824617708,220.77686385604383,30.355212674909097,6.918098211502631,5.040834824617708
2026-03-20 00:00:00+00:00,226.90252064701377,-26.554490293699374,-28.350914135103682,-34.66368878816963,253.45701094071313,26.554490293699374,-1.7964238414043092,-8.109198494470252,255.25343478211747,28.350914135103682,1.7964238414043092,-6.312774653065944,261.5662094351834,34.66368878816963,8.109198494470252,6.312774653065944
2026-03-27 00:00:00+00:00,286.5766655801946,-32.44638399968183,-35.01719448182355,-43.05101637185442,319.0230495798764,32.44638399968183,-2.5708104821417277,-10.604632372172592,321.59386006201817,35.01719448182355,2.5708104821417277,-8.033821890030865,329.627681952049,43.05101637185442,10.604632372172592,8.033821890030865
2026-04-02 00:00:00+00:00,325.6094100795777,-35.29050629028318,-37.77288189141003,-45.40334077169708,360.8999163698609,35.29050629028318,-2.482375601126851,-10.112834481413895,363.3822919709878,37.77288189141003,2.482375601126851,-7.630458880287044,371.0127508512748,45.40334077169708,10.112834481413895,7.630458880287044
2026-04-10 00:00:00+00:00,342.18361928625575,-35.821456115346905,-38.26311548274146,-45.51043788537228,378.00507540160265,35.821456115346905,-2.4416593673945592,-9.688981770025375,380.44673476899726,38.26311548274146,2.4416593673945592,-7.247322402630815,387.69405717162806,45.51043788537228,9.688981770025375,7.247322402630815
2026-04-17 00:00:00+00:00,354.1083355821773,-36.21939984316126,-38.708934393808825,-47.06604168863445,390.3277354253386,36.21939984316126,-2.489534550647562,-10.84664184547318,392.81726997598616,38.708934393808825,2.489534550647562,-8.357107294825617,401.17437727081176,47.06604168863445,10.84664184547318,8.357107294825617
2026-04-24 00:00:00+00:00,356.0541295901851,-33.30961639129585,-37.24545358308131,-52.28853513140986,389.3637459814809,33.30961639129585,-3.935837191785456,-18.978918740114004,393.2995831732664,37.24545358308131,3.935837191785456,-15.043081548328546,408.34266472159493,52.28853513140986,18.978918740114004,15.043081548328546
2026-05-01 00:00:00+00:00,364.6937503141302,-31.758211178141064,-36.14359835382618,-60.01510616580832,396.45196149227127,31.758211178141064,-4.385387175685107,-28.256894987667252,400.8373486679564,36.14359835382618,4.385387175685107,-23.87150781198214,424.70885647993856,60.01510616580832,28.256894987667252,23.87150781198214
2026-05-08 00:00:00+00:00,368.899687599126,-30.73243395733926,-35.08980082106593,-60.463969596625574,399.6321215564652,30.73243395733926,-4.357366863726657,-29.731535639286307,403.98948842019195,35.08980082106593,4.357366863726657,-25.374168775559646,429.3636571957516,60.463969596625574,29.731535639286307,25.374168775559646
2026-05-15 00:00:00+00:00,371.2860893170599,-29.355794438674952,-33.51145499601811,-59.23390271730297,400.6418837557348,29.355794438674952,-4.155660557343145,-29.87810827862801,404.797544313078,33.51145499601811,4.155660557343145,-25.72244772128486,430.5199920343629,59.23390271730297,29.87810827862801,25.72244772128486
2026-05-22 00:00:00+00:00,369.1474809310712,-24.439022323379,-28.440039535744226,-57.68083991071094,393.5865032544501,24.439022323379,-4.001017212365211,-33.24181758733193,397.58752046681536,28.440039535744226,4.001017212365211,-29.24080037496671,426.8283208417821,57.68083991071094,33.24181758733193,29.24080037496671
2026-05-29 00:00:00+00:00,369.93163240451196,-22.3037806630162,-26.21785954073622,-56.02115640451524,392.2354130675281,22.3037806630162,-3.9140788777200024,-33.717375741499026,396.14949194524814,26.21785954073622,3.9140788777200024,-29.803296863779018,425.95278880902714,56.02115640451524,33.717375741499026,29.803296863779018
2026-06-05 00:00:00+00:00,372.03989999114947,-20.823947292263952,-25.434510343426716,-59.92364572151752,392.86384728341335,20.823947292263952,-4.610563051162745,-39.09969842925355,397.47441033457613,25.434510343426716,4.610563051162745,-34.4891353780908,431.9635457126669,59.92364572151752,39.09969842925355,34.4891353780908
2026-06-12 00:00:00+00:00,371.12951364665844,-17.909432303597878,-22.414590767836664,-57.40253641761917,389.0389459502562,17.909432303597878,-4.505158464238769,-39.49310411402127,393.54410441449505,22.414590767836664,4.505158464238769,-34.9879456497825,428.53205006427754,57.40253641761917,39.49310411402127,34.9879456497825
2026-06-18 00:00:00+00:00,372.21816839589263,-15.687830268905863,-21.990518549068206,-65.53724869881799,387.9059986647984,15.687830268905863,-6.302688280162326,-49.84941842991212,394.2086869449608,21.990518549068206,6.302688280162326,-43.54673014974979,437.7554170947106,65.53724869881799,49.84941842991212,43.54673014974979
2026-06-26 00:00:00+00:00,369.86710993515754,-12.506013622021232,-18.60294619374284,-63.2156218443277,382.37312355717864,12.506013622021232,-6.0969325717215925,-50.709608222306464,388.4700561289003,18.60294619374284,6.0969325717215925,-44.61267565058487,433.0827317794852,63.2156218443277,50.709608222306464,44.61267565058487
2026-07-02 00:00:00+00:00,364.69064715848236,-7.993910088760906,-13.804205479366589,-59.97655217201016,372.68455724724316,7.993910088760906,-5.810295390605666,-51.982642083249246,378.49485263784885,13.804205479366589,5.810295390605666,-46.17234669264358,424.66719933049245,59.97655217201016,51.982642083249246,46.17234669264358
2026-07-10 00:00:00+00:00,355.21250356478237,1.351151589261308,-3.35582163118465,-52.22085239006372,353.86135197552096,-1.351151589261308,-4.706973220445941,-53.57200397932502,358.5683251959669,3.35582163118465,4.706973220445941,-48.86503075887908,407.433355954846,52.22085239006372,53.57200397932502,48.86503075887908
2026-07-17 00:00:00+00:00,353.2936796169782,6.106644503947391,1.8770958627056986,-48.120941267798,347.1870351130307,-6.106644503947391,-4.229548641241675,-54.22758577174539,351.4165837542724,-1.8770958627056986,4.229548641241675,-49.99803713050371,401.41462088477607,48.120941267798,54.22758577174539,49.99803713050371
2026-07-24 00:00:00+00:00,346.8510237574667,12.803544963352937,9.60205857033764,-41.49293376375122,334.0474787941136,-12.803544963352937,-3.2014863930152826,-54.29647872710415,337.24896518712893,-9.60205857033764,3.2014863930152826,-51.094992334088865,388.34395752121776,41.49293376375122,54.29647872710415,51.094992334088865
