quantile_pct,enterprise_value_proxy_usd_mn,equity_value_proxy_usd_mn,value_per_share_proxy_usd
1,-2972.4386610460792,-2972.4386610460792,-1.7740500868667328
5,765.3734139397178,765.3734139397178,0.4568002661516301
10,3351.414765192329,3351.414765192329,2.0002356089741804
25,18259.18282610357,18259.18282610357,10.897686570717912
50,56981.9925911621,56981.9925911621,34.00874515291589
75,116688.8690511091,116688.8690511091,69.64379147310915
90,197195.42071162007,197195.42071162007,117.69277456512945
95,264100.84232824214,264100.84232824214,157.6241516482994
99,443461.57236684737,443461.57236684737,264.6725906540978
