model,n_price,n_iv,price_mae,price_rmse,iv_mae_bps,iv_rmse_bps,iv_linf_bps,residual_shapiro_p,residual_jarque_bera_p,residual_dagostino_p
Black-Scholes,64,64,0.6986051929779491,0.8323172324246313,73.06499797011219,97.2107446711727,396.38344902545197,0.0003295784563122187,1.5297889383235713e-08,1.1639282371526909e-05
Heston,64,64,0.3980016523643654,0.500837901003085,38.47514627128837,49.4880959554768,161.7782523566852,0.07913205239835445,0.04545816209894785,0.029972977415300032
Bates,64,64,0.44697058102900866,0.5621043366270976,42.59948110190454,54.62730999434713,158.6399908773589,0.4958401843532887,0.6819453037096823,0.6244376573854671
Bates-Hawkes,64,64,0.41047845576715913,0.5139293411579758,40.76390503025329,52.971393476249865,168.16117679141428,0.15812117473451714,0.10353998166603716,0.0651451184596203
