K,T,market_iv,model_iv,residual_bp
325.0,0.216290212183436,0.2905135066016577,0.27433568179597495,161.7782480568275
335.0,0.216290212183436,0.2703128813662566,0.2686187697663749,16.94111599881698
360.0,0.216290212183436,0.2526102088936605,0.25609440393786237,-34.84195044201888
385.0,0.216290212183436,0.240741736569535,0.24754448595102743,-68.02749381492445
415.0,0.216290212183436,0.2425125272096134,0.24497824889756442,-24.657216879510337
445.0,0.216290212183436,0.2534140126748011,0.25029198710790246,31.220255668986674
465.0,0.216290212183436,0.2637808086042292,0.256383385913382,73.97422690847199
480.0,0.216290212183436,0.2735181129124946,0.2615573484057328,119.60764506761812
325.0,0.3285420944558521,0.2701540474778973,0.268356018899977,17.98028577920274
386.0,0.3285420944558521,0.2392664207330905,0.24613499583027895,-68.6857509718844
417.0,0.3285420944558521,0.2405657853146084,0.24405603738326076,-34.90252068652361
445.0,0.3285420944558521,0.2479329490139148,0.2475105786239385,4.2237038997630645
465.0,0.3285420944558521,0.2546327309909276,0.2520461565653252,25.865744256023948
480.0,0.3285420944558521,0.2616907204055227,0.25610669928839,55.84021117132687
336.0,0.3696098562628336,0.264917958664056,0.26161772671506384,33.0023194899215
358.0,0.3696098562628336,0.248125384348724,0.2530808842679096,-49.554999191855906
325.0,0.5749486652977412,0.2535928928806447,0.2607729344370829,-71.80041556438199
335.0,0.5749486652977412,0.2577532697561198,0.25741706345027465,3.3620630584513256
360.0,0.5749486652977412,0.2450809983073734,0.25058134750879285,-55.00349201419452
386.0,0.5749486652977412,0.2373116789371707,0.24608530127447031,-87.73622337299614
417.0,0.5749486652977412,0.2380638651969842,0.244337999572938,-62.741343759538104
445.0,0.5749486652977412,0.2426785507644527,0.24575446241270657,-30.75911648253882
465.0,0.5749486652977412,0.2472564498259686,0.24810228900985645,-8.458391838878644
480.0,0.5749486652977412,0.250248757350538,0.2503963119198519,-1.4755456931392352
325.0,0.8240930869267625,0.2664665960603393,0.25731167885117745,91.54917209161839
336.0,0.8240930869267625,0.2600102383092978,0.2547054541309456,53.04784178352229
358.0,0.8240930869267625,0.255114117345214,0.25046986989308534,46.442474521286584
386.0,0.8240930869267625,0.2430428768689744,0.24698644463462346,-39.43567765649053
415.0,0.8240930869267625,0.2379089800373651,0.24553849022608168,-76.29510188716576
445.0,0.8240930869267625,0.2425635533529334,0.24605679049182383,-34.93237138890437
465.0,0.8240930869267625,0.2526792837074958,0.24732428435671486,53.54999350780959
480.0,0.8240930869267625,0.2475452658063732,0.2486573130473433,-11.12047240970082
325.0,1.0403832991101984,0.2574844255888835,0.25583363247643326,16.50793112450255
335.0,1.0403832991101984,0.2533910700020381,0.2539911023520494,-6.000323500113258
360.0,1.0403832991101984,0.2464621406885795,0.2503084059114689,-38.462652228894164
385.0,1.0403832991101984,0.2411828859367408,0.247904807023293,-67.21921086552202
415.0,1.0403832991101984,0.2393399006146006,0.24657701525334885,-72.37114638748265
445.0,1.0403832991101984,0.2443948135583661,0.2467172401085899,-23.224265502237994
465.0,1.0403832991101984,0.243019743278902,0.24748247510475843,-44.627318258564365
480.0,1.0403832991101984,0.2461035514163784,0.2483455025838567,-22.41951167478301
325.0,1.3853524982888432,0.2601912651707418,0.2547458147329616,54.454504377802195
335.0,1.3853524982888432,0.2544914056167938,0.2534392577591757,10.52147857618091
360.0,1.3853524982888432,0.2490600689302198,0.2508214020977982,-17.613331675783716
385.0,1.3853524982888432,0.2465785816212184,0.2490670727540078,-24.884911327894
415.0,1.3853524982888432,0.2437241350200959,0.24797613206958863,-42.51997049492723
445.0,1.3853524982888432,0.244953623866383,0.24783104759656943,-28.774237301864293
465.0,1.3853524982888432,0.2465317184065469,0.2481733844399965,-16.41666033449618
480.0,1.3853524982888432,0.2496512606765143,0.24862477378980535,10.264868867089493
325.0,1.787816563997262,0.2611612368588337,0.2542980468743829,68.6318998445079
330.0,1.787816563997262,0.2616592609581538,0.25381171881198344,78.47542146170339
335.0,1.787816563997262,0.2595122142099776,0.25335258000474126,61.596342052363525
340.0,1.787816563997262,0.2596000547983684,0.2529200293695907,66.80025428777714
355.0,1.787816563997262,0.2550507933332585,0.25177594654604446,32.74846787214014
360.0,1.787816563997262,0.2539660104944371,0.2514438035428705,25.222069515666302
385.0,1.787816563997262,0.2499359323543497,0.2501259180199514,-1.899856656016885
390.0,1.787816563997262,0.2499915218870155,0.24992686691172725,0.6465497528826414
415.0,1.787816563997262,0.2483971760929562,0.24922311258272262,-8.259364897664213
420.0,1.787816563997262,0.2475914771082811,0.24913679767594735,-15.453205676662362
445.0,1.787816563997262,0.2480524539365433,0.24894803726495918,-8.955833284158832
450.0,1.787816563997262,0.246289691136498,0.24895525986018222,-26.65568723684203
465.0,1.787816563997262,0.2488649607530795,0.24905802080951012,-1.9306005643060509
470.0,1.787816563997262,0.2496620265501551,0.24911773987828909,5.442866718660122
475.0,1.787816563997262,0.2496469953044318,0.2491894325993895,4.57562705042297
480.0,1.787816563997262,0.2502746382872574,0.24927265822309624,10.019800641611344
