K,T,market_iv,model_iv,residual_bp
325.0,0.216290212183436,0.2905135066016577,0.2508751634314737,396.38343170184
335.0,0.216290212183436,0.2703128813662566,0.25087516343141386,194.37717934842723
360.0,0.216290212183436,0.2526102088936605,0.25087516343145655,17.350454622039322
385.0,0.216290212183436,0.240741736569535,0.2508751634314363,-101.33426861901302
415.0,0.216290212183436,0.2425125272096134,0.25087516343143595,-83.62636221822567
445.0,0.216290212183436,0.2534140126748011,0.25087516343143584,25.38849243365282
465.0,0.216290212183436,0.2637808086042292,0.2508751634314187,129.0564517281051
480.0,0.216290212183436,0.2735181129124946,0.25087516343143723,226.42949481057383
325.0,0.3285420944558521,0.2701540474778973,0.25087516343143657,192.7888404646072
386.0,0.3285420944558521,0.2392664207330905,0.25087516343143706,-116.08742698346552
417.0,0.3285420944558521,0.2405657853146084,0.2508751634314368,-103.09378116828388
445.0,0.3285420944558521,0.2479329490139148,0.2508751634314366,-29.42214417521821
465.0,0.3285420944558521,0.2546327309909276,0.25087516343108457,37.57567559843022
480.0,0.3285420944558521,0.2616907204055227,0.2508751634310653,108.15556974457408
336.0,0.3696098562628336,0.264917958664056,0.2508751634314375,140.42795232618477
358.0,0.3696098562628336,0.248125384348724,0.25087516343143557,-27.497790827115676
325.0,0.5749486652977412,0.2535928928806447,0.25087516343098526,27.17729449659423
335.0,0.5749486652977412,0.2577532697561198,0.25087516343143745,68.78106324682332
360.0,0.5749486652977412,0.2450809983073734,0.2508751634315543,-57.941651241809055
386.0,0.5749486652977412,0.2373116789371707,0.25087516343143534,-135.63484494264642
417.0,0.5749486652977412,0.2380638651969842,0.2508751634314361,-128.11298234451928
445.0,0.5749486652977412,0.2426785507644527,0.25087516343144456,-81.96612666991871
465.0,0.5749486652977412,0.2472564498259686,0.25087516343143623,-36.18713605467644
480.0,0.5749486652977412,0.250248757350538,0.25087516343140775,-6.264060808697791
325.0,0.8240930869267625,0.2664665960603393,0.2508751634314363,155.91432628903002
336.0,0.8240930869267625,0.2600102383092978,0.250875163431435,91.35074877862803
358.0,0.8240930869267625,0.255114117345214,0.25087516343143623,42.38953913777765
386.0,0.8240930869267625,0.2430428768689744,0.25087516343143607,-78.32286562461654
415.0,0.8240930869267625,0.2379089800373651,0.2508751634314362,-129.66183394071072
445.0,0.8240930869267625,0.2425635533529334,0.25087516343143623,-83.11610078502841
465.0,0.8240930869267625,0.2526792837074958,0.250875163431436,18.04120276059806
480.0,0.8240930869267625,0.2475452658063732,0.2508751634314366,-33.29897625063416
325.0,1.0403832991101984,0.2574844255888835,0.25087516343143557,66.09262157447948
335.0,1.0403832991101984,0.2533910700020381,0.25087516343142635,25.159065706117367
360.0,1.0403832991101984,0.2464621406885795,0.2508751634314365,-44.130227428570144
385.0,1.0403832991101984,0.2411828859367408,0.2508751634314359,-96.9227749469509
415.0,1.0403832991101984,0.2393399006146006,0.25087516343143595,-115.35262816835368
445.0,1.0403832991101984,0.2443948135583661,0.2508751634314361,-64.8034987307003
465.0,1.0403832991101984,0.243019743278902,0.2508751634314358,-78.55420152533793
480.0,1.0403832991101984,0.2461035514163784,0.25087516343156885,-47.716120151904406
325.0,1.3853524982888432,0.2601912651707418,0.2508751634314354,93.16101739306416
335.0,1.3853524982888432,0.2544914056167938,0.25087516343143584,36.16242185357943
360.0,1.3853524982888432,0.2490600689302198,0.2508751634314357,-18.150945012158637
385.0,1.3853524982888432,0.2465785816212184,0.25087516343143623,-42.96581810217831
415.0,1.3853524982888432,0.2437241350200959,0.2508751634309906,-71.51028410894683
445.0,1.3853524982888432,0.244953623866383,0.2508751634316184,-59.215395652354175
465.0,1.3853524982888432,0.2465317184065469,0.25087516343143623,-43.43445024889342
480.0,1.3853524982888432,0.2496512606765143,0.25087516343143457,-12.23902754920264
325.0,1.787816563997262,0.2611612368588337,0.250875163431436,102.86073427397679
330.0,1.787816563997262,0.2616592609581538,0.2508751634314361,107.84097526717662
335.0,1.787816563997262,0.2595122142099776,0.25087516343143634,86.37050778541267
340.0,1.787816563997262,0.2596000547983684,0.2508751634314754,87.24891366892973
355.0,1.787816563997262,0.2550507933332585,0.250875163431324,41.75629901934486
360.0,1.787816563997262,0.2539660104944371,0.250875163431217,30.908470632201034
385.0,1.787816563997262,0.2499359323543497,0.25087516343143595,-9.392310770862666
390.0,1.787816563997262,0.2499915218870155,0.25087516343171345,-8.83641544697944
415.0,1.787816563997262,0.2483971760929562,0.2508751634314361,-24.779873384799256
420.0,1.787816563997262,0.2475914771082811,0.2508751634314365,-32.83686323155399
445.0,1.787816563997262,0.2480524539365433,0.25087516343137223,-28.227094948289345
450.0,1.787816563997262,0.246289691136498,0.2508751634314362,-45.854722949381646
465.0,1.787816563997262,0.2488649607530795,0.2508751634314362,-20.10202678356665
470.0,1.787816563997262,0.2496620265501551,0.25087516343143657,-12.13136881281468
475.0,1.787816563997262,0.2496469953044318,0.2508751634314425,-12.281681270107093
480.0,1.787816563997262,0.2502746382872574,0.2508751634314941,-6.005251442366966
