model,paths,steps,seed_offset,mean_bn,mc_mean_se_bn,median_bn,p90_bn
black_scholes,8192,260,0,78.25627419405106,0.8683087818992267,60.09653983657478,173.38694684250052
heston,8192,260,0,78.47398268578594,0.8970204956830127,59.77338085299532,173.63617665829662
bates_poisson,8192,260,0,77.77885507541433,0.9022667913778397,59.11818158745837,174.02283341824588
full_bates_hawkes,8192,260,0,77.94990738872707,0.8915595951305982,59.8247395396775,172.60069889184197
black_scholes,16384,260,0,78.20733302828583,0.6042745808500263,59.96369764502663,173.83529597631926
heston,16384,260,0,77.42264933840067,0.620518951172924,58.67240481720326,172.2365334475326
bates_poisson,16384,260,0,78.25490456550074,0.6426753823525445,59.63611372902338,174.23688663437787
full_bates_hawkes,16384,260,0,77.45361574712268,0.6208657426229204,59.336927538713866,174.89065754610064
black_scholes,8192,520,0,77.78620616253023,0.8548307548466245,60.2466558239461,167.54910089909706
heston,8192,520,0,77.76928067104981,0.8957918857422683,59.121920383942935,171.59116232926417
bates_poisson,8192,520,0,77.37468204749207,0.8687789350675167,59.26253318084086,171.8146636246259
full_bates_hawkes,8192,520,0,78.57033701461631,0.8771866948521713,61.58792100112341,174.73133154380085
black_scholes,8192,260,1,78.99379436476445,0.8745957792518857,61.566726746604566,172.40641042714284
heston,8192,260,1,79.54139987045622,0.9384561970408233,60.741184252649305,174.59062582886588
bates_poisson,8192,260,1,78.32795066820323,0.8593307569297928,61.307116205359435,173.149658451356
full_bates_hawkes,8192,260,1,78.91749198213834,0.8813763952569308,61.37835416377415,176.85180879631352
