time,poisson_intensity,hawkes_intensity,poisson_cumulative_jumps,hawkes_cumulative_jumps
0.0,1.732080307932221,1.732080307932221,0.0,0.0
0.008333333333333333,1.732080307932221,1.732080307932221,0.0,0.0
0.016666666666666666,1.732080307932221,1.732080307932221,0.0,0.0
0.025,1.732080307932221,1.732080307932221,0.0,0.0
0.03333333333333333,1.732080307932221,1.732080307932221,0.0,0.0
0.041666666666666664,1.732080307932221,1.732080307932221,0.0,0.0
0.05,1.732080307932221,1.732080307932221,0.0,0.0
0.058333333333333334,1.732080307932221,1.732080307932221,0.0,0.0
0.06666666666666667,1.732080307932221,1.732080307932221,0.0,0.0
0.075,1.732080307932221,1.732080307932221,0.0,0.0
0.08333333333333333,1.732080307932221,1.732080307932221,0.0,0.0
0.09166666666666666,1.732080307932221,1.732080307932221,0.0,0.0
0.1,1.732080307932221,1.732080307932221,0.0,0.0
0.10833333333333334,1.732080307932221,1.732080307932221,0.0,0.0
0.11666666666666667,1.732080307932221,1.9613493669223723,0.0,1.0
0.125,1.732080307932221,1.9404611692495561,0.0,1.0
0.13333333333333333,1.732080307932221,1.9214760491395846,0.0,1.0
0.14166666666666666,1.732080307932221,1.9042206213982473,1.0,1.0
0.15,1.732080307932221,1.8885372975734946,1.0,1.0
0.15833333333333333,1.732080307932221,1.8742828467491424,1.0,1.0
0.16666666666666666,1.732080307932221,1.861327087461485,1.0,1.0
0.175,1.732080307932221,1.849551698792497,1.0,1.0
0.18333333333333332,1.732080307932221,1.8388491397817082,1.0,1.0
0.19166666666666665,1.732080307932221,1.8291216672880755,1.0,1.0
0.2,1.732080307932221,1.820280443332291,1.0,1.0
0.20833333333333334,1.732080307932221,1.8122447237671624,1.0,1.0
0.21666666666666667,1.732080307932221,1.8049411208664412,1.0,1.0
0.225,1.732080307932221,1.7983029330975568,1.0,1.0
0.23333333333333334,1.732080307932221,1.7922695359572747,1.0,1.0
0.24166666666666667,1.732080307932221,1.786785828306974,1.0,1.0
0.25,1.732080307932221,1.7818017291510944,1.0,1.0
0.2583333333333333,1.732080307932221,1.777271720262988,1.0,1.0
0.26666666666666666,1.732080307932221,1.7731544304811193,1.0,1.0
0.275,1.732080307932221,1.7694122578791212,1.0,1.0
0.2833333333333333,1.732080307932221,1.7660110263591016,1.0,1.0
0.2916666666666667,1.732080307932221,1.7629196735319772,1.0,1.0
0.3,1.732080307932221,1.7601099670343394,1.0,1.0
0.30833333333333335,1.732080307932221,1.7575562466910644,2.0,1.0
0.31666666666666665,1.732080307932221,1.7552351901689187,2.0,1.0
0.325,1.732080307932221,1.7531255999809479,2.0,1.0
0.3333333333333333,1.732080307932221,1.7512082098964235,2.0,1.0
0.3416666666666667,1.732080307932221,1.7494655089883533,2.0,1.0
0.35,1.732080307932221,1.7478815817116344,2.0,1.0
0.35833333333333334,1.732080307932221,1.7464419625513323,2.0,1.0
0.36666666666666664,1.732080307932221,1.7451335039136338,2.0,1.0
0.375,1.732080307932221,1.743944256052964,3.0,1.0
0.3833333333333333,1.732080307932221,1.74286335793868,3.0,1.0
0.39166666666666666,1.732080307932221,1.7418809380646558,3.0,1.0
0.4,1.732080307932221,1.7409880242958893,3.0,1.0
0.4083333333333333,1.732080307932221,1.7401764619287856,3.0,1.0
0.4166666666666667,1.732080307932221,1.7394388392167865,3.0,1.0
0.425,1.732080307932221,1.7387684196811954,3.0,1.0
0.43333333333333335,1.732080307932221,1.7381590805890135,3.0,1.0
0.44166666666666665,1.732080307932221,1.7376052570359248,3.0,1.0
0.45,1.732080307932221,1.737101891123757,3.0,1.0
0.4583333333333333,1.732080307932221,1.7366443857682707,3.0,1.0
0.4666666666666667,1.732080307932221,1.73622856271542,3.0,1.0
0.475,1.732080307932221,1.735850624382658,3.0,1.0
0.48333333333333334,1.732080307932221,1.7355071191767977,3.0,1.0
0.49166666666666664,1.732080307932221,1.7351949099716855,3.0,1.0
0.5,1.732080307932221,1.7349111454578037,3.0,1.0
0.5083333333333333,1.732080307932221,1.7346532341021483,3.0,1.0
0.5166666666666666,1.732080307932221,1.7344188204805644,3.0,1.0
0.525,1.732080307932221,1.7342057637663906,3.0,1.0
0.5333333333333333,1.732080307932221,1.734012118178955,3.0,1.0
0.5416666666666666,1.732080307932221,1.7338361152133657,3.0,1.0
0.55,1.732080307932221,1.733676147489306,3.0,1.0
0.5583333333333333,1.732080307932221,1.7335307540713312,3.0,1.0
0.5666666666666667,1.732080307932221,1.7333986071265974,3.0,1.0
0.575,1.732080307932221,1.73327849979818,3.0,1.0
0.5833333333333334,1.732080307932221,1.7331693351832236,3.0,1.0
0.5916666666666667,1.732080307932221,1.7330701163152689,3.0,1.0
0.6,1.732080307932221,1.7329799370592698,3.0,1.0
