model,simulation_method,terminal_mean,terminal_std,p05,p50,p95,logret_skew,logret_excess_kurtosis,return_mean_pct,return_std_pct,return_p00_pct,return_p05_pct,return_p25_pct,return_p50_pct,return_p75_pct,return_p95_pct,return_p100_pct,return_skewness,return_excess_kurtosis,mean_jump_count,calibration_status,missing_work
Black-Scholes,exact GBM log step; scrambled Sobol normals; LSE forward-rate curve,525.1515894987755,337.61545252305467,160.34294098975147,445.00063967971874,1155.5250647109056,-0.027432435624418588,-0.052470391799610105,24.275644153341574,79.89574568072857,-85.294168592785,-62.055294746491356,-30.112097945176778,5.3081476867072315,54.25278873253433,173.45175112073875,623.3242553157917,1.986701137599969,6.386001756887383,0.0,calibrated,
Heston,full-truncation Euler; correlated scrambled Sobol normals; LSE forward-rate curve,525.9682997990078,245.40877103583273,236.77372091411348,470.86445728662136,986.7764359214165,0.0883182278165786,0.09957683362393777,24.468916344986113,58.075294279251416,-76.0063449763654,-43.968166004658755,-15.178953571233055,11.428747257642835,51.688643967839496,133.51786353063787,560.8031971354615,1.7604738317062196,6.522623198501794,0.0,calibrated,
Bates,full-truncation Euler; inverse-Poisson lognormal jumps; scrambled Sobol draws,520.9812561405566,626.0260178281412,69.16419067508699,322.89666514829213,1644.2508001858523,0.01396579304402717,-0.019788276907695135,23.288746513135493,148.1472934255014,-97.29180727134893,-83.63248913195756,-59.891903737129695,-23.587413884494374,47.97623989885217,289.1073195413428,2240.7323011064473,4.160316364793203,30.698686890669293,8.970703125,calibrated,
Full Bates-Hawkes,full-truncation Euler; event-driven exponential Hawkes jumps; Sobol diffusion,520.2084123373642,342.9321566522437,172.0840316105642,440.6239485431265,1125.8023921023848,0.053731058720132084,0.2749084860456956,23.105855204431005,81.1539287342319,-86.92994954165056,-59.27679872907112,-28.4317864794721,4.272416059617701,52.26532997233397,166.41796438516337,1089.0590072081998,3.050537014246142,19.887671731738244,8.866455078125,Feller-constrained affine calibration,
