K,T,rate,price,vega,implied_vol,moneyness,expiry,dte,spot,curve_date,rate_curve_model,nss_fit_target,nss_beta0,nss_beta1,nss_beta2,nss_beta3,nss_tau1,nss_tau2,nss_rmse_bps,conId,localSymbol,_row_id
325.0,0.216290212183436,0.0383681078448086,81.47,17.11111956585086,0.2905135066016577,0.8068920999056558,2026-11-20,79,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,838421482,GLD   261120C00325000,0
335.0,0.216290212183436,0.0383681078448086,71.8,20.95873614268959,0.2703128813662566,0.8317195491335221,2026-11-20,79,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,838421587,GLD   261120C00335000,2
360.0,0.216290212183436,0.0383681078448086,49.28,41.475371454651885,0.2526102088936605,0.893788172203188,2026-11-20,79,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,838421860,GLD   261120C00360000,7
385.0,0.216290212183436,0.0383681078448086,29.95,64.8229597284498,0.240741736569535,0.9558567952728536,2026-11-20,79,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,838422120,GLD   261120C00385000,12
415.0,0.216290212183436,0.0383681078448086,14.25,74.05208412842042,0.2425125272096134,1.0303391429564528,2026-11-20,79,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,838422419,GLD   261120C00415000,18
445.0,0.216290212183436,0.0383681078448086,6.23,57.81323303892352,0.2534140126748011,1.1048214906400518,2026-11-20,79,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,838422733,GLD   261120C00445000,24
465.0,0.216290212183436,0.0383681078448086,3.6,43.4256220196352,0.2637808086042292,1.1544763890957843,2026-11-20,79,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,838422937,GLD   261120C00465000,28
480.0,0.216290212183436,0.0383681078448086,2.46,34.21399641915241,0.2735181129124946,1.1917175629375838,2026-11-20,79,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,838423086,GLD   261120C00480000,31
325.0,0.3285420944558521,0.0388287411113203,83.65,27.90184344534296,0.2701540474778973,0.8068920999056558,2026-12-31,120,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,843069639,GLD   261231C00325000,64
386.0,0.3285420944558521,0.0388287411113203,33.98,82.39921811042386,0.2392664207330905,0.9583395401956404,2026-12-31,120,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,843071143,GLD   261231C00386000,97
417.0,0.3285420944558521,0.0388287411113203,18.2,91.72934547349386,0.2405657853146084,1.035304632802026,2026-12-31,120,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,843072617,GLD   261231C00417000,128
445.0,0.3285420944558521,0.0388287411113203,9.88,79.58052986967473,0.2479329490139148,1.1048214906400518,2026-12-31,120,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,843073788,GLD   261231C00445000,151
465.0,0.3285420944558521,0.0388287411113203,6.33,65.59908430988756,0.2546327309909276,1.1544763890957843,2026-12-31,120,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,843073971,GLD   261231C00465000,155
480.0,0.3285420944558521,0.0388287411113203,4.63,55.344972281035794,0.2616907204055227,1.1917175629375838,2026-12-31,120,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,843074117,GLD   261231C00480000,158
336.0,0.3696098562628336,0.0389886768780037,74.78,42.20621896870535,0.264917958664056,0.8342022940563087,2027-01-15,135,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,811874983,GLD   270115C00336000,172
358.0,0.3696098562628336,0.0389886768780037,55.85,62.07914251052134,0.248125384348724,0.8888226823576146,2027-01-15,135,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,811876009,GLD   270115C00358000,194
325.0,0.5749486652977412,0.0397243596819706,88.7,50.261089846314576,0.2535928928806447,0.8068920999056558,2027-03-31,210,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,870310661,GLD   270331C00325000,285
335.0,0.5749486652977412,0.0397243596819706,80.6,62.36267767114805,0.2577532697561198,0.8317195491335221,2027-03-31,210,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,870310701,GLD   270331C00335000,287
360.0,0.5749486652977412,0.0397243596819706,60.43,87.04915124808723,0.2450809983073734,0.893788172203188,2027-03-31,210,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,870310797,GLD   270331C00360000,292
386.0,0.5749486652977412,0.0397243596819706,42.53,109.94037332165608,0.2373116789371707,0.9583395401956404,2027-03-31,210,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,870311057,GLD   270331C00386000,302
417.0,0.5749486652977412,0.0397243596819706,26.8,121.80394413738554,0.2380638651969842,1.035304632802026,2027-03-31,210,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,870311798,GLD   270331C00417000,333
445.0,0.5749486652977412,0.0397243596819706,17.25,115.55046010660156,0.2426785507644527,1.1048214906400518,2027-03-31,210,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,870312471,GLD   270331C00445000,361
465.0,0.5749486652977412,0.0397243596819706,12.55,104.70239593745224,0.2472564498259686,1.1544763890957843,2027-03-31,210,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,870312917,GLD   270331C00465000,381
480.0,0.5749486652977412,0.0397243596819706,9.82,94.75581163196782,0.250248757350538,1.1917175629375838,2027-03-31,210,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,870313005,GLD   270331C00480000,384
325.0,0.8240930869267625,0.0404880378482557,95.25,75.6547776442747,0.2664665960603393,0.8068920999056558,2027-06-30,301,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,897587853,GLD   270630C00325000,417
336.0,0.8240930869267625,0.0404880378482557,86.2,86.05171319515,0.2600102383092978,0.8342022940563087,2027-06-30,301,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,897588197,GLD   270630C00336000,422
358.0,0.8240930869267625,0.0404880378482557,69.85,108.55011420013103,0.255114117345214,0.8888226823576146,2027-06-30,301,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,897588992,GLD   270630C00358000,444
386.0,0.8240930869267625,0.0404880378482557,50.8,131.56099935630178,0.2430428768689744,0.9583395401956404,2027-06-30,301,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,897590285,GLD   270630C00386000,472
415.0,0.8240930869267625,0.0404880378482557,35.28,144.751277589124,0.2379089800373651,1.0303391429564528,2027-06-30,301,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,897591742,GLD   270630C00415000,495
445.0,0.8240930869267625,0.0404880378482557,24.35,143.231378279135,0.2425635533529334,1.1048214906400518,2027-06-30,301,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,897592083,GLD   270630C00445000,501
465.0,0.8240930869267625,0.0404880378482557,19.83,136.41569165066934,0.2526792837074958,1.1544763890957843,2027-06-30,301,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,897592243,GLD   270630C00465000,505
