date,timestamp,expiry,K,price,conId,localSymbol,T,dte,moneyness,rate,implied_vol,vega,spot,curve_date,origin_date,target_date,gap_days,market_iv,mean_benchmark_iv,persistence_iv,bs_price,bs_iv,bs_error,heston_price,heston_iv,heston_error,bates_price,bates_iv,bates_error,hawkes_price,hawkes_iv,hawkes_error,common_model_support,common_persistence_support,rate_curve_model,nss_fit_target,nss_beta0,nss_beta1,nss_beta2,nss_beta3,nss_tau1,nss_tau2,nss_rmse_bps
2026-07-10,2026-07-10 20:00:00+00:00,2026-09-30,320.0,62.1,819193334,GLD   260930C00320000,0.2245037645448323,82.0,0.8487838518872178,0.0375773827513283,0.2908152770199813,29.82267759534133,377.01,2026-07-10,2026-07-09,2026-07-10,1,0.2908152770199813,0.24055699191915253,,60.8073105535351,0.23994756712773818,0.050867709892243096,61.56977996272031,0.2720633509541862,0.018751926065795066,61.975259219519984,0.28658415829660366,0.004231118723377614,61.98379013673259,0.2868766901797615,0.003938586840219804,True,False,,,,,,,,,
2026-07-10,2026-07-10 20:00:00+00:00,2026-09-30,330.0,52.95,819193614,GLD   260930C00330000,0.2245037645448323,82.0,0.8753083472586934,0.0375773827513283,0.2736107962814159,36.483849257382026,377.01,2026-07-10,2026-07-09,2026-07-10,1,0.2736107962814159,0.24055699191915253,,51.818678283554846,0.23994756712773818,0.0336632291536777,52.63575364114592,0.2648265232424253,0.008784273038990598,52.89978723728734,0.2722303430651315,0.001380453216284383,52.9510206623013,0.27363877265201875,-2.797637060286684e-05,True,False,,,,,,,,,
2026-07-10,2026-07-10 20:00:00+00:00,2026-09-30,339.0,44.95,819193860,GLD   260930C00339000,0.2245037645448323,82.0,0.8991803930930214,0.0375773827513283,0.2585762444290334,43.33183444567273,377.01,2026-07-10,2026-07-09,2026-07-10,1,0.2585762444290334,0.24055699191915253,,44.16952607164336,0.23994756712773818,0.018628677301295193,44.951953346553864,0.2586213195401246,-4.507511109119733e-05,44.974517764561995,0.2591415272994899,-0.0005652828704565405,45.08396499443806,0.26165202472647664,-0.0030757802974432646,True,False,,,,,,,,,
2026-07-10,2026-07-10 20:00:00+00:00,2026-09-30,349.0,37.43,819194117,GLD   260930C00349000,0.2245037645448323,82.0,0.9257048884644968,0.0375773827513283,0.2615784237754531,53.67577127950428,377.01,2026-07-10,2026-07-09,2026-07-10,1,0.2615784237754531,0.24055699191915253,,36.29339454471125,0.23994756712773818,0.021630856647714913,36.93008821287033,0.25218244236418974,0.009395981411263354,36.59497762670321,0.24578361125802622,0.01579481251742687,36.777158180511165,0.24927295569973068,0.012305468075722414,True,False,,,,,,,,,
2026-07-10,2026-07-10 20:00:00+00:00,2026-09-30,358.0,29.85,819194367,GLD   260930C00358000,0.2245037645448323,82.0,0.949576934298825,0.0375773827513283,0.2396442321187816,59.99598440524867,377.01,2026-07-10,2026-07-09,2026-07-10,1,0.2396442321187816,0.24055699191915253,,29.86820185600206,0.23994756712773818,-0.0003033350089565734,30.288363491084905,0.24692094757864252,-0.007276715459860916,29.636113879601385,0.23607173154754563,0.0035725005712359814,29.871828546915747,0.24000799012789503,-0.00036375800911342404,True,False,,,,,,,,,
2026-07-10,2026-07-10 20:00:00+00:00,2026-09-30,368.0,22.88,819194626,GLD   260930C00368000,0.2245037645448323,82.0,0.9761014296703006,0.0375773827513283,0.2298981083621271,66.93717373016744,377.01,2026-07-10,2026-07-09,2026-07-10,1,0.2298981083621271,0.24055699191915253,,23.55390292404286,0.23994756712773818,-0.010049458765611086,23.68037337358536,0.24182969515481967,-0.011931586792692572,22.794973420053196,0.2286275583247654,0.0012705500373617062,23.058289743433818,0.23256033382834868,-0.0026622254662215794,True,False,,,,,,,,,
2026-07-10,2026-07-10 20:00:00+00:00,2026-09-30,377.0,17.52,819194797,GLD   260930C00377000,0.2245037645448323,82.0,0.9999734755046286,0.0375773827513283,0.2238929208087735,70.6389503086297,377.01,2026-07-10,2026-07-09,2026-07-10,1,0.2238929208087735,0.24055699191915253,,18.65420778931349,0.23994756712773818,-0.016054646318964694,18.52143172884415,0.23806828889073806,-0.014175368081964568,17.59049663484935,0.22489089680658653,-0.0009979759978130387,17.84486175799729,0.2284916624526493,-0.004598741643875803,True,False,,,,,,,,,
2026-07-10,2026-07-10 20:00:00+00:00,2026-09-30,386.0,13.13,819194960,GLD   260930C00386000,0.2245037645448323,82.0,1.0238455213389566,0.0375773827513283,0.2206648630027659,70.96101022793685,377.01,2026-07-10,2026-07-09,2026-07-10,1,0.2206648630027659,0.24055699191915253,,14.499303509171256,0.23994756712773818,-0.019282704124972294,14.161581227725014,0.23519409864591434,-0.014529235643148453,13.3317184144359,0.2235072026525624,-0.0028423396497965214,13.550785009164949,0.22659326454559342,-0.005928401542827533,True,False,,,,,,,,,
2026-07-10,2026-07-10 20:00:00+00:00,2026-09-30,396.0,9.32,897212509,GLD   260930C00396000,0.2245037645448323,82.0,1.0503700167104322,0.0375773827513283,0.2192839720736257,67.26632231905505,377.01,2026-07-10,2026-07-09,2026-07-10,1,0.2192839720736257,0.24055699191915253,,10.719006166020648,0.23994756712773818,-0.02066359505411247,10.254059578085576,0.23310807093242186,-0.013824098858796152,9.643142564290166,0.22408015946755183,-0.004796187393926121,9.805246972016963,0.22648053951570768,-0.007196567442081969,True,False,,,,,,,,,
2026-07-10,2026-07-10 20:00:00+00:00,2026-09-30,405.0,6.68,819195090,GLD   260930C00405000,0.2245037645448323,82.0,1.0742420625447602,0.0375773827513283,0.2185420580963604,60.978305399719694,377.01,2026-07-10,2026-07-09,2026-07-10,1,0.2185420580963604,0.24055699191915253,,8.007000973247614,0.23994756712773818,-0.02140550903137778,7.522934139285064,0.23221580724576485,-0.013673749149404446,7.136463639386545,0.22598229655995966,-0.007440238463599258,7.24318250281183,0.2277093391970732,-0.009167281100712799,True,False,,,,,,,,,
2026-07-10,2026-07-10 20:00:00+00:00,2026-09-30,415.0,4.63,819195125,GLD   260930C00415000,0.2245037645448323,82.0,1.1007665579162356,0.0375773827513283,0.2207158332678489,52.36472624959339,377.01,2026-07-10,2026-07-09,2026-07-10,1,0.2207158332678489,0.24055699191915253,,5.6657610370486395,0.23994756712773818,-0.019231733859889272,5.243194823380034,0.2322244963116012,-0.011508663043752282,5.079053024686468,0.22918120920890944,-0.008465375941060532,5.1295681991515245,0.23012053168406715,-0.009404698416218243,True,False,,,,,,,,,
2026-07-10,2026-07-10 20:00:00+00:00,2026-10-16,320.0,62.95,827013756,GLD   261016C00320000,0.2683093771389459,98.0,0.8487838518872178,0.0378081833469244,0.2772485067551025,34.16158367848679,377.01,2026-07-10,2026-07-09,2026-07-10,1,0.2772485067551025,0.24055699191915253,0.2799079629000458,61.81008006480374,0.23994756712773818,0.037300939627364305,62.67820253810331,0.2691148985325359,0.00813360822256659,62.989731141873236,0.2784080034531653,-0.0011594966980628119,63.00838491591575,0.27894997112927966,-0.0017014643741771751,True,True,,,,,,,,,
2026-07-10,2026-07-10 20:00:00+00:00,2026-10-16,330.0,54.23,827013883,GLD   261016C00330000,0.2683093771389459,98.0,0.8753083472586934,0.0378081833469244,0.2698979016399943,42.77379157945863,377.01,2026-07-10,2026-07-09,2026-07-10,1,0.2698979016399943,0.24055699191915253,0.2637781148345082,53.028971062985875,0.23994756712773818,0.029950334512256094,53.91133737930192,0.26233504304206,0.007562858597934263,54.07736610228266,0.2663042604691349,0.003593641170859363,54.1313041693646,0.2675800444346853,0.0023178572053089708,True,True,,,,,,,,,
2026-07-10,2026-07-10 20:00:00+00:00,2026-10-16,349.0,38.33,897213105,GLD   261016C00349000,0.2683093771389459,98.0,0.9257048884644968,0.0378081833469244,0.2472086646203883,58.97832152178685,377.01,2026-07-10,2026-07-09,2026-07-10,1,0.2472086646203883,0.24055699191915253,0.2431727515049476,37.90472807739363,0.23994756712773818,0.007261097492650109,38.530305693219915,0.25059435493266213,-0.0033856903122738424,38.174757043982694,0.2445699080136605,0.002638756606727799,38.33679396045275,0.2473238482926972,-0.00011518367230892168,True,True,,,,,,,,,
